Quantidade de graduados de 2002 por curso e período,,,
Curso \ Período,2002.1,2002.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,6,3,9
11105150 - FÍSICA (BAC) - D,2,0,2
11107110 - MATEMÁTICA (LIC) - D,3,6,9
11107150 - MATEMÁTICA (BAC) - D,3,1,4
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES),4,3,7
11124100 - ENGENHARIA MECÂNICA - D,22,10,32
11126100 - ENGENHARIA DE MATERIAIS - D,5,5,10
11128100 - ENGENHARIA QUÍMICA - D,11,6,17
12205100 - MEDICINA,27,37,64
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,2,0,2
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,25,29,54
13304100 - CIÊNCIAS ECONÔMICAS - M,20,10,30
13304200 - CIÊNCIAS ECONÔMICAS - N,0,3,3
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,4,5,9
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,8,1,9
13309110 - HISTÓRIA (LIC) - D,9,9,18
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,8,8,16
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,1,1,2
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,4,2,6
13312110 - PEDAGOGIA (LIC) - M,0,1,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,11,14,25
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,0,1,1
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,20,1,21
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,12,21,33
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,0,4,4
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,1,9,10
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,9,13,22
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,4,5,9
15108100 - METEOROLOGIA - D,1,2,3
15121100 - ENGENHARIA AGRÍCOLA - D,5,3,8
15122100 - ENGENHARIA CIVIL - D,21,24,45
15127100 - ENGENHARIA DE MINAS - D,3,3,6
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,2,4,6
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,0,5,5
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,1,3,4
21309110 - HISTÓRIA (LIC) - M,0,1,1
21309210 - HISTÓRIA (LIC) - N,16,24,40
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,7,21,28
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,12,19,31
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M,3,1,4
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,25,5,30
21316110 - GEOGRAFIA (LICENCIATURA) - M,4,14,18
21316210 - GEOGRAFIA (LICENCIATURA) - N,5,34,39
31350100 - DIREITO - M,19,35,54
31350200 - DIREITO - N,24,23,47
41403100 - ENGENHARIA FLORESTAL - D,1,7,8
41410100 - MEDICINA VETERINÁRIA - D,25,20,45
Total período,395,456,851
