Quantidade de graduados de 2005 por curso e período,,,
Curso \ Período,2005.1,2005.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,13,9,22
11105150 - FÍSICA (BAC) - D,4,3,7
11107110 - MATEMÁTICA (LIC) - D,8,5,13
11107150 - MATEMÁTICA (BAC) - D,3,0,3
11107210 - MATEMÁTICA (LIC) - N,3,6,9
11124100 - ENGENHARIA MECÂNICA - D,20,11,31
11126100 - ENGENHARIA DE MATERIAIS - D,13,14,27
11128100 - ENGENHARIA QUÍMICA - D,8,8,16
12205100 - MEDICINA,41,42,83
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,1,0,1
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,15,21,36
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,0,1,1
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,14,8,22
13304100 - CIÊNCIAS ECONÔMICAS - M,10,10,20
13304200 - CIÊNCIAS ECONÔMICAS - N,2,7,9
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,1,2,3
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,5,6,11
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,6,2,8
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,2,3
13309110 - HISTÓRIA (LIC) - D,11,6,17
13309150 - HISTÓRIA (BAC) - M,2,1,3
13309211 - HISTÓRIA (LIC) - N,6,9,15
13309212 - HISTÓRIA (BAC) - N,1,2,3
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,5,4,9
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,3,4
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,7,9,16
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,3,3
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,14,13,27
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,1,3,4
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,24,2,26
13317100 - ARTE E MÍDIA - D,14,13,27
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,26,17,43
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,3,3,6
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,12,13,25
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,4,7,11
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,7,21,28
14123114 - ENGENHARIA ELÉTRICA (ELETRÔN/ELETROTÉC),0,1,1
15108100 - METEOROLOGIA - D,3,3,6
15121100 - ENGENHARIA AGRÍCOLA - D,6,2,8
15122100 - ENGENHARIA CIVIL - D,9,26,35
15127100 - ENGENHARIA DE MINAS - D,5,5,10
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,2,1,3
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,4,2,6
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,1,1
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,0,2,2
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,4,4
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,0,4,4
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,1,1
21309110 - HISTÓRIA (LIC) - M,3,15,18
21309210 - HISTÓRIA (LIC) - N,27,14,41
Curso \ Período,2005.1,2005.2,Total curso
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,3,11,14
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,5,9,14
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,8,1,9
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,13,3,16
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,26,2,28
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N,26,4,30
21316110 - GEOGRAFIA (LICENCIATURA) - M,6,23,29
21316210 - GEOGRAFIA (LICENCIATURA) - N,12,33,45
31350100 - DIREITO - M,5,25,30
31350200 - DIREITO - N,22,4,26
41403100 - ENGENHARIA FLORESTAL - D,5,6,11
41410100 - MEDICINA VETERINÁRIA - D,22,28,50
Total período,518,516,1034
