Quantidade de graduados de 2008 por curso e período,,,
Curso \ Período,2008.1,2008.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,14,8,22
11105150 - FÍSICA (BAC) - D,1,1,2
11107110 - MATEMÁTICA (LIC) - D,7,5,12
11107150 - MATEMÁTICA (BAC) - D,0,1,1
11107210 - MATEMÁTICA (LIC) - N,7,3,10
11124100 - ENGENHARIA MECÂNICA - D,14,18,32
11126100 - ENGENHARIA DE MATERIAIS - D,14,14,28
11128100 - ENGENHARIA QUÍMICA - D,5,13,18
12205100 - MEDICINA,34,30,64
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,2,1,3
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,25,32,57
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,18,7,25
13304100 - CIÊNCIAS ECONÔMICAS - M,7,15,22
13304200 - CIÊNCIAS ECONÔMICAS - N,9,13,22
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,7,10,17
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,2,1,3
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,4,4,8
13309110 - HISTÓRIA (LIC) - D,15,5,20
13309150 - HISTÓRIA (BAC) - M,4,3,7
13309211 - HISTÓRIA (LIC) - N,16,17,33
13309212 - HISTÓRIA (BAC) - N,1,1,2
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,8,6,14
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,1,1,2
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,0,1
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,6,7,13
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,0,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,7,20,27
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,0,6,6
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,11,1,12
13317100 - ARTE E MÍDIA - D,7,10,17
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,20,33,53
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,2,3,5
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,11,14,25
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,4,9,13
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,12,10,22
15108100 - METEOROLOGIA - D,4,6,10
15121100 - ENGENHARIA AGRÍCOLA - D,3,1,4
15122100 - ENGENHARIA CIVIL - D,15,25,40
15127100 - ENGENHARIA DE MINAS - D,1,2,3
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,2,3,5
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,10,2,12
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,1,1
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,2,3,5
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,8,8
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,9,4,13
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,3,0,3
21309110 - HISTÓRIA (LIC) - M,32,6,38
21309210 - HISTÓRIA (LIC) - N,23,8,31
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,2,15,17
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,2,7,9
Curso \ Período,2008.1,2008.2,Total curso
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,9,8,17
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,10,3,13
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,0,23,23
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N,0,11,11
21316110 - GEOGRAFIA (LICENCIATURA) - M,1,25,26
21316210 - GEOGRAFIA (LICENCIATURA) - N,10,26,36
31350100 - DIREITO - M,3,46,49
31350200 - DIREITO - N,37,9,46
31350300 - DIREITO - V,3,27,30
31360200 - CIÊNCIAS CONTÁBEIS - N,14,34,48
41403100 - ENGENHARIA FLORESTAL - D,2,10,12
41410100 - MEDICINA VETERINÁRIA - D,32,34,66
91402100 - AGRONOMIA - D,4,18,22
Total período,530,687,1217
