Quantidade de graduados de 2009 por curso e período,,,
Curso \ Período,2009.1,2009.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,13,8,21
11105150 - FÍSICA (BAC) - D,3,1,4
11107110 - MATEMÁTICA (LIC) - D,3,4,7
11107150 - MATEMÁTICA (BAC) - D,4,1,5
11107210 - MATEMÁTICA (LIC) - N,6,7,13
11124100 - ENGENHARIA MECÂNICA - D,10,16,26
11126100 - ENGENHARIA DE MATERIAIS - D,12,12,24
11128100 - ENGENHARIA QUÍMICA - D,7,13,20
12205100 - MEDICINA,40,40,80
13301100 - ADMINISTRAÇÃO - D,0,1,1
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,1,1,2
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,18,17,35
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,6,6,12
13304100 - CIÊNCIAS ECONÔMICAS - M,10,10,20
13304200 - CIÊNCIAS ECONÔMICAS - N,9,7,16
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,5,10,15
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,2,3,5
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,9,5,14
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,2,1,3
13309110 - HISTÓRIA (LIC) - D,8,9,17
13309150 - HISTÓRIA (BAC) - M,3,4,7
13309211 - HISTÓRIA (LIC) - N,17,11,28
13309212 - HISTÓRIA (BAC) - N,0,1,1
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,9,9,18
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,2,4,6
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,13,7,20
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N,1,0,1
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,1,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,4,18,22
13312112 - PEDAGOGIA(LIC.PL/MAG.MAT.PED.2.GRAU)-M,1,0,1
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,0,1,1
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,7,4,11
13317100 - ARTE E MÍDIA - D,15,15,30
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,18,30,48
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,3,4,7
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,16,23,39
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,2,6,8
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,5,10,15
15108100 - METEOROLOGIA - D,1,4,5
15121100 - ENGENHARIA AGRÍCOLA - D,2,1,3
15122100 - ENGENHARIA CIVIL - D,22,35,57
15127100 - ENGENHARIA DE MINAS - D,2,5,7
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,2,3,5
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,9,5,14
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,7,1,8
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,2,2
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,4,0,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,1,1
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,1,1
Curso \ Período,2009.1,2009.2,Total curso
21204100 - ENFERMAGEM - D,11,21,32
21309110 - HISTÓRIA (LIC) - M,21,9,30
21309210 - HISTÓRIA (LIC) - N,23,13,36
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,7,17,24
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,3,7,10
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,18,10,28
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,3,3,6
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,2,1,3
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,5,31,36
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N,8,35,43
21316110 - GEOGRAFIA (LICENCIATURA) - M,9,29,38
21316210 - GEOGRAFIA (LICENCIATURA) - N,5,29,34
31350100 - DIREITO - M,2,40,42
31350200 - DIREITO - N,35,7,42
31350300 - DIREITO - V,5,37,42
31360200 - CIÊNCIAS CONTÁBEIS - N,15,28,43
41403100 - ENGENHARIA FLORESTAL - D,3,7,10
41410100 - MEDICINA VETERINÁRIA - D,35,34,69
91402100 - AGRONOMIA - D,14,8,22
Total período,558,744,1302
