Quantidade de graduados de 2017 por curso e período,,,
Curso \ Período,2017.1,2017.2,Total curso
11104120 - DESIGN - D,11,24,35
11105110 - FÍSICA (LIC) - D,2,2,4
11105150 - FÍSICA (BAC) - D,1,2,3
11107110 - MATEMÁTICA (LIC) - D,4,1,5
11107150 - MATEMÁTICA (BAC) - D,0,1,1
11107210 - MATEMÁTICA (LIC) - N,4,4,8
11124100 - ENGENHARIA MECÂNICA - D,27,36,63
11126100 - ENGENHARIA DE MATERIAIS - D,6,15,21
11128100 - ENGENHARIA QUÍMICA - D,19,19,38
11133100 - ENGENHARIA DE PRODUÇÃO - D,17,18,35
11134100 - ESTATÍSTICA - D,2,2,4
11135100 - ENGENHARIA DE PETRÓLEO - D,7,15,22
12204100 - ENFERMAGEM - D,20,21,41
12205100 - MEDICINA,39,22,61
12208200 - PSICOLOGIA - N,25,20,45
13301100 - ADMINISTRAÇÃO - D,18,16,34
13301200 - ADMINISTRAÇÃO - N,5,6,11
13304100 - CIÊNCIAS ECONÔMICAS - M,11,4,15
13304200 - CIÊNCIAS ECONÔMICAS - N,8,2,10
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,1,0,1
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,1,3,4
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,3,12,15
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,1,1
13306100 - COMUNICAÇÃO SOCIAL - D,8,11,19
13306200 - COMUNICAÇÃO SOCIAL - N,14,4,18
13309110 - HISTÓRIA (LIC) - D,5,8,13
13309210 - HISTÓRIA (LIC) - N,4,21,25
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,9,4,13
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,6,0,6
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,2,2,4
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,6,5,11
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,2,1,3
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,0,3,3
13311110 - MÚSICA (LIC) - D,9,5,14
13311150 - MÚSICA (BAC) - D,6,0,6
13312110 - PEDAGOGIA (LIC) - M,2,17,19
13312210 - PEDAGOGIA (LIC) - N,3,3,6
13314210 - FILOSOFIA (LIC) - N,1,2,3
13314250 - FILOSOFIA (BAC) - N,2,0,2
13316110 - GEOGRAFIA (LIC) - M,1,9,10
13316210 - GEOGRAFIA (LIC) - N,2,13,15
13317100 - ARTE E MÍDIA - D,12,9,21
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,32,40,72
14123100 - ENGENHARIA ELÉTRICA,39,47,86
15101100 - ARQUITETURA E URBANISMO - D,27,11,38
15108100 - METEOROLOGIA - D,5,0,5
15121100 - ENGENHARIA AGRÍCOLA - D,4,3,7
15122100 - ENGENHARIA CIVIL - D,44,43,87
15125100 - ENGENHARIA DE ALIMENTOS - D,11,2,13
15127100 - ENGENHARIA DE MINAS - D,13,20,33
Curso \ Período,2017.1,2017.2,Total curso
21105210 - FÍSICA (LIC) - N,2,0,2
21107110 - MATEMÁTICA (LIC) - D,3,13,16
21109210 - QUÍMICA (LIC) - N,5,12,17
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,19,16,35
21204100 - ENFERMAGEM - D,23,30,53
21205100 - MEDICINA,0,12,12
21309110 - HISTÓRIA (LIC) - M,14,5,19
