Quantidade de alunos matriculados em 2023.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),132,81,213
13301200 - ADMINISTRAÇÃO - N (Campina Grande),72,56,128
31301200 - ADMINISTRAÇÃO - N (Sousa),77,80,157
91402100 - AGRONOMIA - D (Pombal),71,120,191
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),121,54,175
13317100 - ARTE E MÍDIA - D (Campina Grande),65,71,136
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),167,634,801
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),69,26,95
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),50,39,89
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),79,39,118
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),85,58,143
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),66,45,111
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),87,91,178
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),30,51,81
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),41,53,94
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),36,21,57
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),50,41,91
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),63,32,95
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),60,36,96
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),52,51,103
11104120 - DESIGN - D (Campina Grande),125,83,208
31350100 - DIREITO - M (Sousa),133,93,226
31350200 - DIREITO - N (Sousa),144,147,291
31350300 - DIREITO - V (Sousa),131,75,206
12204100 - ENFERMAGEM - D (Campina Grande),175,43,218
21204100 - ENFERMAGEM - D (Cajazeiras),196,63,259
51204100 - ENFERMAGEM - D (Cuité),184,43,227
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),35,16,51
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),44,57,101
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),42,33,75
15122100 - ENGENHARIA CIVIL - D (Campina Grande),180,256,436
91122100 - ENGENHARIA CIVIL - D (Pombal),82,155,237
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),55,31,86
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),61,43,104
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),24,20,44
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),43,66,109
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),46,43,89
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),35,33,68
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),48,64,112
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),39,41,80
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),145,539,684
41403100 - ENGENHARIA FLORESTAL - D (Patos),32,35,67
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),50,192,242
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),80,67,147
11134100 - ESTATÍSTICA - D (Campina Grande),10,19,29
51203100 - FARMÁCIA - D (Cuité),212,110,322
13314250 - FILOSOFIA (BAC) - N (Campina Grande),6,17,23
13314210 - FILOSOFIA (LIC) - N (Campina Grande),14,36,50
11105150 - FÍSICA (BAC) - D (Campina Grande),14,25,39
11105110 - FÍSICA (LIC) - D (Campina Grande),18,26,44
51105110 - FÍSICA (LIC) - D (Cuité),19,36,55
21105210 - FÍSICA (LIC) - N (Cajazeiras),43,54,97
51105210 - FÍSICA (LIC) - N (Cuité),28,46,74
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),45,56,101
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),34,65,99
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),77,57,134
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),66,71,137
13309110 - HISTÓRIA (LIC) - D (Campina Grande),66,53,119
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),84,74,158
13309210 - HISTÓRIA (LIC) - N (Campina Grande),60,57,117
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),108,77,185
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),49,33,82
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),43,14,57
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),43,19,62
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),26,16,42
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),38,25,63
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),39,31,70
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),46,27,73
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),65,26,91
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),94,36,130
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),71,20,91
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),7,8,15
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),20,28,48
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),38,60,98
51107110 - MATEMÁTICA (LIC) - D (Cuité),33,39,72
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),18,32,50
51107210 - MATEMÁTICA (LIC) - N (Cuité),38,48,86
12205100 - MEDICINA (Campina Grande),232,306,538
21205100 - MEDICINA (Cajazeiras),85,85,170
41410100 - MEDICINA VETERINÁRIA - D (Patos),240,140,380
15108100 - METEOROLOGIA - D (Campina Grande),17,17,34
13311150 - MÚSICA (BAC) - D (Campina Grande),6,25,31
13311110 - MÚSICA (LIC) - D (Campina Grande),10,38,48
51206100 - NUTRIÇÃO - D (Cuité),182,51,233
41207100 - ODONTOLOGIA - D (Patos),205,133,338
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),105,4,109
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),84,4,88
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),132,19,151
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),158,35,193
12208100 - PSICOLOGIA - D (Campina Grande),266,91,357
12208200 - PSICOLOGIA - N (Campina Grande),0,1,1
51109110 - QUÍMICA (LIC) - D (Cuité),40,18,58
21109210 - QUÍMICA (LIC) - N (Cajazeiras),61,50,111
51109210 - QUÍMICA (LIC) - N (Cuité),55,21,76
31340100 - SERVIÇO SOCIAL - M (Sousa),103,15,118
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),22,9,31
