Quantidade de alunos matriculados em 2021.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),73,5,78
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),132,33,165
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),121,24,145
12208100 - PSICOLOGIA - D (Campina Grande),239,83,322
12208200 - PSICOLOGIA - N (Campina Grande),14,7,21
51109110 - QUÍMICA (LIC) - D (Cuité),55,25,80
21109210 - QUÍMICA (LIC) - N (Cajazeiras),64,57,121
51109210 - QUÍMICA (LIC) - N (Cuité),56,34,90
31340100 - SERVIÇO SOCIAL - M (Sousa),94,22,116
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),43,33,76
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),71,30,101
Total,7378,6814,14192
