Quantidade de alunos matriculados em 2022.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),123,94,217
13301200 - ADMINISTRAÇÃO - N (Campina Grande),75,56,131
31301200 - ADMINISTRAÇÃO - N (Sousa),81,79,160
91402100 - AGRONOMIA - D (Pombal),84,114,198
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),119,59,178
13317100 - ARTE E MÍDIA - D (Campina Grande),61,63,124
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),153,624,777
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),71,27,98
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),63,36,99
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),65,41,106
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),93,57,150
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),73,49,122
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),85,100,185
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),33,58,91
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),36,63,99
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),42,20,62
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),62,47,109
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),68,30,98
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),62,31,93
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),57,53,110
11104120 - DESIGN - D (Campina Grande),115,70,185
31350100 - DIREITO - M (Sousa),127,90,217
31350200 - DIREITO - N (Sousa),133,150,283
31350300 - DIREITO - V (Sousa),126,85,211
12204100 - ENFERMAGEM - D (Campina Grande),163,46,209
21204100 - ENFERMAGEM - D (Cajazeiras),195,56,251
51204100 - ENFERMAGEM - D (Cuité),202,50,252
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),39,21,60
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),39,59,98
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),53,37,90
15122100 - ENGENHARIA CIVIL - D (Campina Grande),174,281,455
91122100 - ENGENHARIA CIVIL - D (Pombal),96,212,308
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),45,30,75
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),65,34,99
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),24,25,49
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),54,67,121
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),35,44,79
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),44,41,85
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),50,69,119
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),49,50,99
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),142,573,715
41403100 - ENGENHARIA FLORESTAL - D (Patos),30,33,63
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),52,196,248
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),79,73,152
11134100 - ESTATÍSTICA - D (Campina Grande),17,26,43
51203100 - FARMÁCIA - D (Cuité),242,110,352
13314250 - FILOSOFIA (BAC) - N (Campina Grande),7,22,29
13314210 - FILOSOFIA (LIC) - N (Campina Grande),13,35,48
11105150 - FÍSICA (BAC) - D (Campina Grande),9,21,30
