Quantidade de alunos matriculados em 2024.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),129,90,219
13301200 - ADMINISTRAÇÃO - N (Campina Grande),82,63,145
31301200 - ADMINISTRAÇÃO - N (Sousa),75,80,155
91402100 - AGRONOMIA - D (Pombal),54,107,161
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),127,60,187
13317100 - ARTE E MÍDIA - D (Campina Grande),65,73,138
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),174,613,787
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),66,36,102
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),61,48,109
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),69,51,120
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),88,61,149
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),64,56,120
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),80,88,168
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),32,55,87
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),52,55,107
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),29,19,48
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),56,36,92
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),55,33,88
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),55,39,94
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),58,52,110
11104120 - DESIGN - D (Campina Grande),124,71,195
31350100 - DIREITO - M (Sousa),155,93,248
31350200 - DIREITO - N (Sousa),149,144,293
31350300 - DIREITO - V (Sousa),149,70,219
12204100 - ENFERMAGEM - D (Campina Grande),170,46,216
21204100 - ENFERMAGEM - D (Cajazeiras),194,56,250
51204100 - ENFERMAGEM - D (Cuité),184,51,235
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),29,12,41
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),38,53,91
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),29,23,52
15122100 - ENGENHARIA CIVIL - D (Campina Grande),178,246,424
91122100 - ENGENHARIA CIVIL - D (Pombal),63,104,167
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),57,21,78
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),40,34,74
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),14,11,25
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),36,56,92
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),50,49,99
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),29,37,66
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),49,55,104
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),31,36,67
