Ano;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código da Área;Área de Enquadramento;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Concluintes Inscritos;Concluintes Participantes;Concluintes Participantes com nota no Enem;Percentual de Concluintes participantes com nota no Enem;Nota Bruta - IDD;Nota Padronizada - IDD;IDD (Faixa)
2016;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pessoa Jurídica de Direito Público - Federal;90091;12;MEDICINA;Educação Presencial;3548906;SÃO CARLOS;SP;34;34;34;1,0000;-1,0058;1,8291;2
2016;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada sem fins lucrativos;90207;19;FARMÁCIA;Educação Presencial;4314407;PELOTAS;RS;10;10;8;0,8000;0,4635;2,6150;3
2016;3793;FACULDADE FRUTAL;FAF;Faculdade ;Privada com fins lucrativos;90220;38;SERVIÇO SOCIAL;Educação Presencial;3127107;FRUTAL;MG;3;3;2;0,6667;-5,6664;0,0000;1
2016;1058;Estácio FIB - Centro Universitário Estácio da Bahia;Estácio FIB;Centro Universitário;Privada com fins lucrativos;90329;19;FARMÁCIA;Educação Presencial;2927408;SALVADOR;BA;43;41;19;0,4634;-0,4878;2,2014;3
2016;1224;CENTRO UNIVERSITÁRIO DE JALES;UNIJALES;Centro Universitário;Privada sem fins lucrativos;90331;23;ENFERMAGEM;Educação Presencial;3524808;JALES;SP;12;12;5;0,4167;1,0132;2,9805;4
2016;3983;CENTRO UNIVERSITÁRIO DE FORMIGA;UNIFORMG;Centro Universitário;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;90359;5;MEDICINA VETERINÁRIA;Educação Presencial;3126109;FORMIGA;MG;39;36;26;0,7222;0,0273;2,6173;3
2016;1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;Centro Universitário;Privada sem fins lucrativos;90363;3501;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;5300108;BRASÍLIA;DF;51;42;26;0,6190;-0,2099;2,3730;3
2016;1224;CENTRO UNIVERSITÁRIO DE JALES;UNIJALES;Centro Universitário;Privada sem fins lucrativos;90365;36;FISIOTERAPIA;Educação Presencial;3524808;JALES;SP;4;4;4;1,0000;-5,5685;0,0000;1
2016;1224;CENTRO UNIVERSITÁRIO DE JALES;UNIJALES;Centro Universitário;Privada sem fins lucrativos;90369;38;SERVIÇO SOCIAL;Educação Presencial;3524808;JALES;SP;29;29;12;0,4138;-3,0493;1,2212;2
2016;4725;FACULDADE DE TECNOLOGIA EGÍDIO JOSÉ DA SILVA;FATEGIDIO;Faculdade ;Privada com fins lucrativos;90408;69;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;3168606;TEÓFILO OTONI;MG;21;3;3;1,0000;2,9974;3,2425;4
2016;4725;FACULDADE DE TECNOLOGIA EGÍDIO JOSÉ DA SILVA;FATEGIDIO;Faculdade ;Privada com fins lucrativos;90411;91;TECNOLOGIA EM GESTÃO HOSPITALAR;Educação Presencial;3168606;TEÓFILO OTONI;MG;6;0;0;0,0000;;;SC
2016;2571;FACULDADE REDENTOR;FACREDENTOR;Faculdade ;Privada sem fins lucrativos;90430;36;FISIOTERAPIA;Educação Presencial;3302205;ITAPERUNA;RJ;18;17;12;0,7059;0,4041;2,6665;3
2016;1735;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;FLS;Centro Universitário;Privada com fins lucrativos;90432;38;SERVIÇO SOCIAL;Educação Presencial;2307304;JUAZEIRO DO NORTE;CE;143;136;106;0,7794;0,1338;2,7065;3
2016;1735;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;FLS;Centro Universitário;Privada com fins lucrativos;90434;55;BIOMEDICINA;Educação Presencial;2307304;JUAZEIRO DO NORTE;CE;90;89;86;0,9663;0,2697;2,5408;3
2016;1322;FACULDADE EDUVALE DE AVARÉ;EDUVALE;Faculdade ;Privada sem fins lucrativos;90443;17;AGRONOMIA;Educação Presencial;3504503;AVARÉ;SP;15;14;9;0,6429;2,1452;4,1521;5
2016;1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;Centro Universitário;Privada sem fins lucrativos;90455;23;ENFERMAGEM;Educação Presencial;5300108;BRASÍLIA;DF;34;30;12;0,4000;0,7614;2,8620;3
2016;1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;Centro Universitário;Privada sem fins lucrativos;90467;19;FARMÁCIA;Educação Presencial;5300108;BRASÍLIA;DF;16;16;3;0,1875;;;SC
2016;2362;FACULDADE DE CIÊNCIAS MÉDICAS DE CAMPINA GRANDE;FCM;Faculdade ;Privada com fins lucrativos;90483;12;MEDICINA;Educação Presencial;2504009;CAMPINA GRANDE;PB;120;120;101;0,8417;-2,6837;0,0000;1
2016;481;UNIVERSIDADE GUARULHOS;UNG;Universidade;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;90497;38;SERVIÇO SOCIAL;Educação Presencial;3518800;GUARULHOS;SP;108;72;19;0,2639;0,3650;2,8144;3
2016;545;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;FACCI;Faculdade ;Privada sem fins lucrativos;90499;55;BIOMEDICINA;Educação Presencial;3131703;ITABIRA;MG;1;1;0;0,0000;;;SC
