Dados do período 2019.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,771,30,4650,1656
13020000,ARTES,Campina Grande,392,25,4950,1737
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,39,13,1320,75
12020000,CIÊNCIAS MÉDICAS,Campina Grande,526,111,13080,2654
13050000,CIÊNCIAS SOCIAIS,Campina Grande,1045,46,7050,1797
11120000,DESIGN,Campina Grande,168,19,2460,782
13030000,ECONOMIA E FINANCAS,Campina Grande,543,20,2910,867
13040000,EDUCAÇÃO,Campina Grande,622,33,5400,1616
12010000,ENFERMAGEM,Campina Grande,180,41,5715,1176
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,140,26,2850,449
15030000,ENGENHARIA CIVIL,Campina Grande,892,42,6270,2428
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,69,13,1290,217
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,235,19,1650,368
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,80,8,1350,160
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,596,16,2520,716
14040000,ENGENHARIA ELÉTRICA,Campina Grande,728,52,8040,2518
11050000,ENGENHARIA MECÂNICA,Campina Grande,336,27,3345,926
11070000,ENGENHARIA QUÍMICA,Campina Grande,434,30,3930,935
11140000,ESTATÍSTICA,Campina Grande,628,15,2340,682
11080000,FÍSICA,Campina Grande,1119,33,5190,1668
13080000,GEOGRAFIA,Campina Grande,268,15,2805,933
13060000,HISTÓRIA,Campina Grande,369,21,3000,1040
13070000,LETRAS,Campina Grande,1108,56,9270,2374
11090000,MATEMÁTICA,Campina Grande,1859,37,5190,2862
19010000,MATEMÁTICA (PARFOR),Campina Grande,2,2,210,4
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,155,14,1860,349
13090000,MÚSICA,Campina Grande,115,13,3960,495
12050000,PSICOLOGIA,Campina Grande,323,29,8085,1933
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1439,39,6015,3628
21050000,CIÊNCIAS DA VIDA,Cajazeiras,323,60,8325,1018
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,429,35,6300,1475
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,556,18,3105,1525
21030000,EDUCAÇÃO,Cajazeiras,771,31,4425,1835
21060000,ENFERMAGEM,Cajazeiras,239,30,3300,1047
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21070000,GEOGRAFIA,Cajazeiras,284,14,2550,884
21040000,LETRAS,Cajazeiras,617,20,4350,1633
31030000,CIÊNCIAS CONTÁBEIS,Sousa,366,24,3270,1781
31010000,DIREITO,Sousa,979,59,8265,5863
41050000,CIÊNCIAS BIOLÓGICAS,Patos,369,27,3360,1458
41020000,ENGENHARIA FLORESTAL,Patos,140,30,3540,621
41010000,MEDICINA VETERINÁRIA,Patos,462,45,5820,2933
41060000,ODONTOLOGIA,Patos,401,37,3960,2017
51040000,BIOLOGIA E QUÍMICA,Cuité,958,33,5730,2199
51030000,ENFERMAGEM,Cuité,257,24,5700,1243
51010000,FÍSICA E MATEMÁTICA,Cuité,848,35,6510,1845
51020000,SAÚDE,Cuité,820,40,11235,4119
71050000,CIÊNCIAS SOCIAIS,Sumé,165,10,1380,487
71010000,EDUCAÇÃO DO CAMPO,Sumé,315,25,4050,859
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,177,12,1590,365
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,248,13,1530,587
71060000,GESTÃO PÚBLICA,Sumé,116,8,1110,418
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,393,33,4500,1481
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,953,79,14925,5294
