Dados do período 2022.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,643,24,4350,1383
13020000,ARTES,Campina Grande,407,27,5535,1661
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,24,15,1260,49
12020000,CIÊNCIAS MÉDICAS,Campina Grande,545,93,13065,2703
13050000,CIÊNCIAS SOCIAIS,Campina Grande,831,48,6675,1522
11120000,DESIGN,Campina Grande,184,16,2370,833
13030000,ECONOMIA E FINANCAS,Campina Grande,460,19,2940,786
13040000,EDUCAÇÃO,Campina Grande,624,33,5490,1590
12010000,ENFERMAGEM,Campina Grande,209,43,6855,1229
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,138,24,3390,423
15030000,ENGENHARIA CIVIL,Campina Grande,760,37,5655,1934
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,50,15,1470,193
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,182,17,1590,239
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,65,9,1410,130
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,579,18,2760,733
14040000,ENGENHARIA ELÉTRICA,Campina Grande,604,51,7815,1988
11050000,ENGENHARIA MECÂNICA,Campina Grande,247,23,3315,793
11070000,ENGENHARIA QUÍMICA,Campina Grande,365,29,3810,627
11140000,ESTATÍSTICA,Campina Grande,548,15,2370,594
11080000,FÍSICA,Campina Grande,1015,30,5235,1443
13080000,GEOGRAFIA,Campina Grande,209,15,3075,761
13060000,HISTÓRIA,Campina Grande,298,23,3660,913
13070000,LETRAS,Campina Grande,953,60,9660,2132
11090000,MATEMÁTICA,Campina Grande,1617,35,4800,2395
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,121,14,1860,238
13090000,MÚSICA,Campina Grande,69,15,2955,307
12050000,PSICOLOGIA,Campina Grande,371,29,8310,2029
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1357,36,4650,3448
21050000,CIÊNCIAS DA VIDA,Cajazeiras,327,53,7440,984
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,386,30,5730,1247
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,498,14,2940,1334
21030000,EDUCAÇÃO,Cajazeiras,838,33,4830,1987
21060000,ENFERMAGEM,Cajazeiras,268,28,5130,1159
21070000,GEOGRAFIA,Cajazeiras,289,14,2355,827
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,447,23,4080,1301
31030000,CIÊNCIAS CONTÁBEIS,Sousa,345,27,3390,1725
31010000,DIREITO,Sousa,818,49,6810,4711
41050000,CIÊNCIAS BIOLÓGICAS,Patos,336,28,3420,1252
41020000,ENGENHARIA FLORESTAL,Patos,65,28,3165,393
41010000,MEDICINA VETERINÁRIA,Patos,416,43,5970,2670
41060000,ODONTOLOGIA,Patos,394,37,3930,1926
51040000,BIOLOGIA E QUÍMICA,Cuité,862,34,5835,1934
51030000,ENFERMAGEM,Cuité,250,23,6555,1236
51010000,FÍSICA E MATEMÁTICA,Cuité,799,37,6645,1791
51020000,SAÚDE,Cuité,741,42,10470,3419
71050000,CIÊNCIAS SOCIAIS,Sumé,157,12,1530,406
71010000,EDUCAÇÃO DO CAMPO,Sumé,238,26,3525,567
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,90,12,1650,217
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,131,11,1470,310
71060000,GESTÃO PÚBLICA,Sumé,92,8,930,305
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,181,31,4320,597
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,695,76,13905,3347
