Dados do período 2024.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,630,31,4170,1443
13020000,ARTES,Campina Grande,358,25,4530,1533
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,17,13,1200,33
12020000,CIÊNCIAS MÉDICAS,Campina Grande,550,102,20445,2743
13050000,CIÊNCIAS SOCIAIS,Campina Grande,831,46,5805,1493
11120000,DESIGN,Campina Grande,196,18,2430,968
13030000,ECONOMIA E FINANCAS,Campina Grande,558,19,3060,1122
13040000,EDUCAÇÃO,Campina Grande,622,36,4710,1637
12010000,ENFERMAGEM,Campina Grande,301,50,10230,1371
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,124,28,2970,400
15030000,ENGENHARIA CIVIL,Campina Grande,706,40,5595,1904
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,61,15,1530,188
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,113,17,1230,161
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,52,9,1140,84
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,511,19,2520,670
14040000,ENGENHARIA ELÉTRICA,Campina Grande,555,52,6060,1944
11050000,ENGENHARIA MECÂNICA,Campina Grande,246,28,3450,625
11070000,ENGENHARIA QUÍMICA,Campina Grande,329,34,3690,577
11140000,ESTATÍSTICA,Campina Grande,437,14,1680,457
11080000,FÍSICA,Campina Grande,899,33,5025,1263
13080000,GEOGRAFIA,Campina Grande,217,16,2670,899
13060000,HISTÓRIA,Campina Grande,278,24,3060,991
13070000,LETRAS,Campina Grande,981,61,8880,2190
11090000,MATEMÁTICA,Campina Grande,1536,36,3735,2221
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,122,15,1560,225
13090000,MÚSICA,Campina Grande,82,15,2745,373
12050000,PSICOLOGIA,Campina Grande,358,30,6840,2051
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1310,40,5520,3429
21050000,CIÊNCIAS DA VIDA,Cajazeiras,329,60,7290,1092
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,417,31,5715,1394
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,507,18,3060,1506
21030000,EDUCAÇÃO,Cajazeiras,791,31,4245,1934
21060000,ENFERMAGEM,Cajazeiras,271,33,5550,1276
21070000,GEOGRAFIA,Cajazeiras,276,16,2295,844
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,610,24,3975,1553
31030000,CIÊNCIAS CONTÁBEIS,Sousa,325,28,2970,1502
31010000,DIREITO,Sousa,869,53,6795,5184
41050000,CIÊNCIAS BIOLÓGICAS,Patos,304,26,3420,1306
41020000,ENGENHARIA FLORESTAL,Patos,63,29,2760,382
41010000,MEDICINA VETERINÁRIA,Patos,377,45,5610,2393
41060000,ODONTOLOGIA,Patos,348,34,5130,1857
51040000,BIOLOGIA E QUÍMICA,Cuité,878,34,6120,2216
51030000,ENFERMAGEM,Cuité,233,22,3990,1217
51010000,FÍSICA E MATEMÁTICA,Cuité,689,36,6120,1426
51020000,SAÚDE,Cuité,673,43,6255,3305
71050000,CIÊNCIAS SOCIAIS,Sumé,134,10,1320,398
71010000,EDUCAÇÃO DO CAMPO,Sumé,197,27,2895,441
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,53,13,1020,103
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,91,12,1320,243
71060000,GESTÃO PÚBLICA,Sumé,76,8,930,258
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,122,32,3870,367
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,454,76,13350,2353
