Dados do período 2023.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,634,27,4410,1358
13020000,ARTES,Campina Grande,387,26,5625,1556
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,33,12,1110,51
12020000,CIÊNCIAS MÉDICAS,Campina Grande,538,100,13065,2603
13050000,CIÊNCIAS SOCIAIS,Campina Grande,856,47,6585,1477
11120000,DESIGN,Campina Grande,208,15,2430,945
13030000,ECONOMIA E FINANCAS,Campina Grande,482,18,3420,989
13040000,EDUCAÇÃO,Campina Grande,635,34,5085,1672
12010000,ENFERMAGEM,Campina Grande,218,44,5715,1301
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,99,24,3165,383
15030000,ENGENHARIA CIVIL,Campina Grande,713,38,5715,1941
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,63,15,1590,209
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,170,19,1740,226
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,53,10,1410,78
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,507,16,2580,639
14040000,ENGENHARIA ELÉTRICA,Campina Grande,560,49,8160,2088
11050000,ENGENHARIA MECÂNICA,Campina Grande,249,27,3345,711
11070000,ENGENHARIA QUÍMICA,Campina Grande,385,30,4110,708
11140000,ESTATÍSTICA,Campina Grande,445,14,2250,479
11080000,FÍSICA,Campina Grande,947,35,4980,1398
13080000,GEOGRAFIA,Campina Grande,203,13,3000,806
13060000,HISTÓRIA,Campina Grande,271,22,3915,1000
13070000,LETRAS,Campina Grande,934,56,9345,2096
11090000,MATEMÁTICA,Campina Grande,1623,33,4620,2380
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,127,17,1800,231
13090000,MÚSICA,Campina Grande,79,15,3090,407
12050000,PSICOLOGIA,Campina Grande,358,31,7920,2078
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1307,37,5010,3677
21050000,CIÊNCIAS DA VIDA,Cajazeiras,345,54,6615,988
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,423,33,5625,1432
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,532,16,3015,1486
21030000,EDUCAÇÃO,Cajazeiras,802,32,4545,1979
21060000,ENFERMAGEM,Cajazeiras,269,28,5130,1242
21070000,GEOGRAFIA,Cajazeiras,299,17,2535,881
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,578,24,4050,1449
31030000,CIÊNCIAS CONTÁBEIS,Sousa,335,26,3330,1491
31010000,DIREITO,Sousa,841,46,6675,4855
41050000,CIÊNCIAS BIOLÓGICAS,Patos,301,25,3600,1220
41020000,ENGENHARIA FLORESTAL,Patos,69,27,3150,400
41010000,MEDICINA VETERINÁRIA,Patos,380,42,5700,2425
41060000,ODONTOLOGIA,Patos,366,38,3960,1862
51040000,BIOLOGIA E QUÍMICA,Cuité,814,36,6405,2035
51030000,ENFERMAGEM,Cuité,227,24,6495,1283
51010000,FÍSICA E MATEMÁTICA,Cuité,739,36,6645,1742
51020000,SAÚDE,Cuité,645,40,10065,3172
71050000,CIÊNCIAS SOCIAIS,Sumé,122,10,1395,374
71010000,EDUCAÇÃO DO CAMPO,Sumé,231,22,2790,488
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,76,12,1590,207
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,96,11,1410,222
71060000,GESTÃO PÚBLICA,Sumé,107,8,1170,339
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,162,32,4050,501
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,607,77,14760,4162
