Dados do período 2015.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,874,28,4500,1772
13020000,ARTES,Campina Grande,407,24,4890,1735
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,32,15,1260,63
12020000,CIÊNCIAS MÉDICAS,Campina Grande,457,104,15105,2181
13050000,CIÊNCIAS SOCIAIS,Campina Grande,999,46,6315,1465
11120000,DESIGN,Campina Grande,203,17,2580,899
13030000,ECONOMIA E FINANCAS,Campina Grande,614,21,3240,1022
13040000,EDUCAÇÃO,Campina Grande,536,29,5010,1401
12010000,ENFERMAGEM,Campina Grande,181,46,6300,985
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,126,27,2805,390
15030000,ENGENHARIA CIVIL,Campina Grande,970,40,6345,2887
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,91,9,1710,318
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,222,18,1920,359
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,158,10,1320,292
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,708,16,2685,857
14040000,ENGENHARIA ELÉTRICA,Campina Grande,866,53,7710,3046
11050000,ENGENHARIA MECÂNICA,Campina Grande,437,26,4605,1233
11070000,ENGENHARIA QUÍMICA,Campina Grande,574,29,4110,1227
11140000,ESTATÍSTICA,Campina Grande,710,17,2400,750
11080000,FÍSICA,Campina Grande,1508,30,5070,2251
13080000,GEOGRAFIA,Campina Grande,290,14,2730,979
13060000,HISTÓRIA,Campina Grande,379,24,3240,989
19030000,HISTÓRIA (PARFOR),Campina Grande,16,5,360,96
13070000,LETRAS,Campina Grande,890,51,9225,1768
11090000,MATEMÁTICA,Campina Grande,2095,37,5400,3322
19010000,MATEMÁTICA (PARFOR),Campina Grande,26,9,600,130
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,252,17,2580,665
13090000,MÚSICA,Campina Grande,94,17,3360,458
12050000,PSICOLOGIA,Campina Grande,287,30,6810,1453
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1260,36,5625,2714
21050000,CIÊNCIAS DA VIDA,Cajazeiras,313,50,9975,802
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,451,38,6465,1485
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,495,18,3180,1380
21030000,EDUCAÇÃO,Cajazeiras,797,33,5085,1870
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,258,26,3000,847
21070000,GEOGRAFIA,Cajazeiras,274,14,2310,761
21040000,LETRAS,Cajazeiras,614,24,4290,1586
19020000,QUÍMICA (PARFOR),Cajazeiras,5,5,270,25
31030000,CIÊNCIAS CONTÁBEIS,Sousa,381,32,3420,1791
31010000,DIREITO,Sousa,921,59,8070,5382
41050000,CIÊNCIAS BIOLÓGICAS,Patos,342,25,3180,1356
41020000,ENGENHARIA FLORESTAL,Patos,143,29,3540,727
41010000,MEDICINA VETERINÁRIA,Patos,405,46,5985,2379
41060000,ODONTOLOGIA,Patos,381,39,4005,1920
51040000,BIOLOGIA E QUÍMICA,Cuité,801,35,6120,2074
51030000,ENFERMAGEM,Cuité,298,29,7485,1717
51010000,FÍSICA E MATEMÁTICA,Cuité,689,38,5805,1328
51020000,SAÚDE,Cuité,706,42,8655,3257
71050000,CIÊNCIAS SOCIAIS,Sumé,168,15,1710,487
71010000,EDUCAÇÃO DO CAMPO,Sumé,311,29,3390,670
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,184,13,1530,434
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,272,11,1470,574
71060000,GESTÃO PÚBLICA,Sumé,155,8,870,445
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,432,33,3810,1492
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,834,72,13815,4760
