Dados do período 2016.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,777,27,4470,1608
13020000,ARTES,Campina Grande,378,23,4500,1730
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,34,14,1320,66
12020000,CIÊNCIAS MÉDICAS,Campina Grande,459,108,13770,2360
13050000,CIÊNCIAS SOCIAIS,Campina Grande,948,48,6615,1428
11120000,DESIGN,Campina Grande,191,20,2520,838
13030000,ECONOMIA E FINANCAS,Campina Grande,572,20,3240,947
13040000,EDUCAÇÃO,Campina Grande,531,33,4755,1390
12010000,ENFERMAGEM,Campina Grande,162,46,5580,882
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,127,27,2760,361
15030000,ENGENHARIA CIVIL,Campina Grande,977,42,6390,2924
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,76,12,1830,230
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,282,15,1710,426
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,117,9,1230,256
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,727,16,2625,865
14040000,ENGENHARIA ELÉTRICA,Campina Grande,885,52,7875,3069
11050000,ENGENHARIA MECÂNICA,Campina Grande,413,28,4890,1103
11070000,ENGENHARIA QUÍMICA,Campina Grande,510,28,4260,1196
11140000,ESTATÍSTICA,Campina Grande,686,16,2580,723
11080000,FÍSICA,Campina Grande,1442,33,5295,2145
13080000,GEOGRAFIA,Campina Grande,290,14,2730,975
13060000,HISTÓRIA,Campina Grande,364,21,3000,924
19030000,HISTÓRIA (PARFOR),Campina Grande,15,6,360,90
13070000,LETRAS,Campina Grande,913,60,9420,1800
11090000,MATEMÁTICA,Campina Grande,1995,40,5040,3131
19010000,MATEMÁTICA (PARFOR),Campina Grande,16,9,540,69
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,225,17,2520,570
13090000,MÚSICA,Campina Grande,110,13,3300,520
12050000,PSICOLOGIA,Campina Grande,277,31,7170,1434
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1300,39,5715,2832
21050000,CIÊNCIAS DA VIDA,Cajazeiras,243,53,5790,666
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,466,33,6135,1476
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,472,19,3135,1314
21030000,EDUCAÇÃO,Cajazeiras,806,37,4815,1887
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,220,26,3000,777
21070000,GEOGRAFIA,Cajazeiras,268,15,2385,745
21040000,LETRAS,Cajazeiras,611,23,4290,1500
19020000,QUÍMICA (PARFOR),Cajazeiras,5,4,300,25
31030000,CIÊNCIAS CONTÁBEIS,Sousa,381,29,3720,1846
31010000,DIREITO,Sousa,938,61,8250,5845
41050000,CIÊNCIAS BIOLÓGICAS,Patos,341,25,3270,1313
41020000,ENGENHARIA FLORESTAL,Patos,147,29,3375,680
41010000,MEDICINA VETERINÁRIA,Patos,407,49,6840,2435
41060000,ODONTOLOGIA,Patos,388,39,4110,1922
51040000,BIOLOGIA E QUÍMICA,Cuité,828,35,5895,2082
51030000,ENFERMAGEM,Cuité,273,29,6585,1336
51010000,FÍSICA E MATEMÁTICA,Cuité,714,38,5835,1425
51020000,SAÚDE,Cuité,689,43,9570,3370
71050000,CIÊNCIAS SOCIAIS,Sumé,162,13,1650,436
71010000,EDUCAÇÃO DO CAMPO,Sumé,276,26,3210,565
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,160,12,1680,409
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,249,11,1470,572
71060000,GESTÃO PÚBLICA,Sumé,177,10,930,518
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,401,34,4200,1412
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,832,79,14820,4751
