Dados do período 2018.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1271,248,73,107
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,945,160,120,69
CH - CENTRO DE HUMANIDADES,Campina Grande,2164,248,424,124
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1527,152,207,80
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1044,191,111,86
CENTRO PARFOR,Campina Grande,33,15,0,17
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1885,178,228,139
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1322,84,20,125
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1133,122,144,101
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1512,132,122,98
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,737,79,0,83
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,940,78,142,51
