Dados do período 2022.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1135,237,62,71
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1125,153,118,90
CH - CENTRO DE HUMANIDADES,Campina Grande,2192,249,404,117
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1492,153,162,87
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,917,187,93,46
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2002,179,202,155
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1163,75,38,103
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1097,117,121,79
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1550,125,110,148
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,517,80,0,48
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,695,76,61,85
