Dados do período 2023.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1278,236,333,80
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1122,158,113,92
CH - CENTRO DE HUMANIDADES,Campina Grande,2218,251,384,164
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1471,148,192,71
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,966,183,182,46
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2136,188,378,154
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1335,74,341,140
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1125,117,161,141
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1561,129,297,155
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,571,82,150,45
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,650,73,86,74
