Dados do período 2024.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1185,245,282,68
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1141,163,130,99
CH - CENTRO DE HUMANIDADES,Campina Grande,2184,256,386,136
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1461,159,197,95
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,946,196,162,54
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2143,189,365,170
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1340,74,346,97
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1020,118,158,106
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1491,126,303,88
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,505,84,127,58
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,586,73,90,64
