Dados do período 2018.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1452,247,409,101
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,907,152,116,69
CH - CENTRO DE HUMANIDADES,Campina Grande,2156,249,442,170
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1481,155,212,60
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1138,198,233,96
CENTRO PARFOR,Campina Grande,33,11,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1928,188,404,136
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1461,85,360,87
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1124,121,180,76
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1598,130,383,91
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,875,78,316,47
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,928,74,174,43
