Dados do período 2020.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1283,218,429,103
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1029,154,136,113
CH - CENTRO DE HUMANIDADES,Campina Grande,2006,241,448,191
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1450,145,217,139
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,970,186,248,101
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1894,173,420,159
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1329,85,339,159
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1142,116,194,109
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1577,123,386,91
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,781,79,311,61
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,910,74,176,91
