Dados do período 2023.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,718,28,4710,1504
13020000,ARTES,Campina Grande,314,22,4650,1204
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,38,12,1320,71
12020000,CIÊNCIAS MÉDICAS,Campina Grande,549,98,13350,2773
13050000,CIÊNCIAS SOCIAIS,Campina Grande,961,47,6600,1629
11120000,DESIGN,Campina Grande,192,16,2280,867
13030000,ECONOMIA E FINANCAS,Campina Grande,486,19,3270,1831
13040000,EDUCAÇÃO,Campina Grande,596,34,5565,1609
12010000,ENFERMAGEM,Campina Grande,209,44,6795,1197
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,158,25,3045,548
15030000,ENGENHARIA CIVIL,Campina Grande,763,40,5445,1952
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,90,16,1800,240
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,235,18,1710,286
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,85,10,1590,174
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,629,17,2670,722
14040000,ENGENHARIA ELÉTRICA,Campina Grande,615,51,7770,2076
11050000,ENGENHARIA MECÂNICA,Campina Grande,252,26,3435,799
11070000,ENGENHARIA QUÍMICA,Campina Grande,538,30,4050,975
11140000,ESTATÍSTICA,Campina Grande,440,13,2430,487
11080000,FÍSICA,Campina Grande,1146,33,4815,1560
13080000,GEOGRAFIA,Campina Grande,237,15,3570,1138
13060000,HISTÓRIA,Campina Grande,287,24,4065,920
13070000,LETRAS,Campina Grande,892,56,9825,2188
11090000,MATEMÁTICA,Campina Grande,1676,32,4740,2714
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,187,16,1980,259
13090000,MÚSICA,Campina Grande,62,15,3090,325
12050000,PSICOLOGIA,Campina Grande,365,28,7920,2032
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1399,37,5010,3508
21050000,CIÊNCIAS DA VIDA,Cajazeiras,350,55,7095,1148
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,469,30,5880,1489
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,568,18,3180,1622
21030000,EDUCAÇÃO,Cajazeiras,854,36,4605,1955
21060000,ENFERMAGEM,Cajazeiras,294,29,5220,1256
21070000,GEOGRAFIA,Cajazeiras,261,15,2610,824
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,695,25,4380,1514
31030000,CIÊNCIAS CONTÁBEIS,Sousa,375,28,3270,1721
31010000,DIREITO,Sousa,960,48,7050,5676
41050000,CIÊNCIAS BIOLÓGICAS,Patos,403,27,3390,1269
41020000,ENGENHARIA FLORESTAL,Patos,139,28,3435,616
41010000,MEDICINA VETERINÁRIA,Patos,424,45,5640,2642
41060000,ODONTOLOGIA,Patos,391,35,3975,1924
51040000,BIOLOGIA E QUÍMICA,Cuité,893,32,5880,2424
51030000,ENFERMAGEM,Cuité,236,28,6120,1268
51010000,FÍSICA E MATEMÁTICA,Cuité,870,39,6990,2222
51020000,SAÚDE,Cuité,673,42,10230,3165
71050000,CIÊNCIAS SOCIAIS,Sumé,195,12,1785,495
71010000,EDUCAÇÃO DO CAMPO,Sumé,253,23,3480,563
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,99,14,1980,285
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,128,13,1860,351
71060000,GESTÃO PÚBLICA,Sumé,130,7,1170,492
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,189,26,3630,566
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,650,73,13800,3181
