Dados do período 2020.0,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,636,27,3240,1296
13020000,ARTES,Campina Grande,217,23,2370,508
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,58,12,930,109
12020000,CIÊNCIAS MÉDICAS,Campina Grande,350,95,3015,1650
13050000,CIÊNCIAS SOCIAIS,Campina Grande,645,47,5235,1068
11120000,DESIGN,Campina Grande,112,13,870,243
13030000,ECONOMIA E FINANCAS,Campina Grande,282,19,2460,599
13040000,EDUCAÇÃO,Campina Grande,261,23,2100,581
12010000,ENFERMAGEM,Campina Grande,145,40,1710,578
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,105,23,2220,344
15030000,ENGENHARIA CIVIL,Campina Grande,568,40,4275,1400
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,77,13,1320,204
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,185,18,1680,291
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,79,8,720,153
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,453,18,2370,567
14040000,ENGENHARIA ELÉTRICA,Campina Grande,598,49,5775,1927
11050000,ENGENHARIA MECÂNICA,Campina Grande,190,23,1815,479
11070000,ENGENHARIA QUÍMICA,Campina Grande,407,25,3180,757
11140000,ESTATÍSTICA,Campina Grande,397,14,1500,434
11080000,FÍSICA,Campina Grande,530,33,4275,714
13080000,GEOGRAFIA,Campina Grande,213,16,1665,441
13060000,HISTÓRIA,Campina Grande,258,19,2460,625
13070000,LETRAS,Campina Grande,751,57,7140,1442
11090000,MATEMÁTICA,Campina Grande,771,29,2520,986
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,106,11,1380,218
13090000,MÚSICA,Campina Grande,72,14,1515,158
12050000,PSICOLOGIA,Campina Grande,289,27,3540,849
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1148,40,4770,2866
21050000,CIÊNCIAS DA VIDA,Cajazeiras,276,32,1125,643
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,402,28,3120,845
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,268,16,1890,627
21030000,EDUCAÇÃO,Cajazeiras,616,24,2610,1085
21060000,ENFERMAGEM,Cajazeiras,288,26,1365,702
21070000,GEOGRAFIA,Cajazeiras,198,15,2145,558
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,402,22,2265,839
31030000,CIÊNCIAS CONTÁBEIS,Sousa,381,28,3600,1817
31010000,DIREITO,Sousa,1025,57,7290,5925
41050000,CIÊNCIAS BIOLÓGICAS,Patos,551,41,3375,1654
41020000,ENGENHARIA FLORESTAL,Patos,99,23,1680,406
41010000,MEDICINA VETERINÁRIA,Patos,444,38,4020,2193
41060000,ODONTOLOGIA,Patos,315,19,975,1037
51040000,BIOLOGIA E QUÍMICA,Cuité,731,32,4065,1229
51030000,ENFERMAGEM,Cuité,184,21,735,487
51010000,FÍSICA E MATEMÁTICA,Cuité,544,32,3555,998
51020000,SAÚDE,Cuité,650,37,3195,2100
71050000,CIÊNCIAS SOCIAIS,Sumé,124,9,810,192
71010000,EDUCAÇÃO DO CAMPO,Sumé,107,14,1110,184
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,164,15,1680,303
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,191,15,1500,470
71060000,GESTÃO PÚBLICA,Sumé,170,10,1080,499
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,354,31,3300,842
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,889,78,10680,3891
