Dados do período 2016.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,740,26,4560,1551
13020000,ARTES,Campina Grande,314,22,3975,1373
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,60,15,1290,105
12020000,CIÊNCIAS MÉDICAS,Campina Grande,460,110,15150,2428
13050000,CIÊNCIAS SOCIAIS,Campina Grande,1081,46,6420,1663
11120000,DESIGN,Campina Grande,196,19,2640,867
13030000,ECONOMIA E FINANCAS,Campina Grande,580,21,3270,959
13040000,EDUCAÇÃO,Campina Grande,588,37,5310,1393
12010000,ENFERMAGEM,Campina Grande,168,51,5940,912
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,117,27,2835,427
15030000,ENGENHARIA CIVIL,Campina Grande,1018,42,6150,3136
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,129,14,1620,329
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,270,16,1710,417
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,157,9,1410,371
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,737,17,2535,913
14040000,ENGENHARIA ELÉTRICA,Campina Grande,918,51,7035,3076
11050000,ENGENHARIA MECÂNICA,Campina Grande,366,26,4380,1031
11070000,ENGENHARIA QUÍMICA,Campina Grande,690,28,4200,1494
11140000,ESTATÍSTICA,Campina Grande,712,16,2640,782
11080000,FÍSICA,Campina Grande,1578,33,5655,2252
13080000,GEOGRAFIA,Campina Grande,334,14,2520,942
13060000,HISTÓRIA,Campina Grande,356,24,3000,971
19030000,HISTÓRIA (PARFOR),Campina Grande,15,6,360,90
13070000,LETRAS,Campina Grande,1032,61,9825,1917
11090000,MATEMÁTICA,Campina Grande,2222,41,5625,3712
19010000,MATEMÁTICA (PARFOR),Campina Grande,17,6,360,61
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,286,17,2400,576
13090000,MÚSICA,Campina Grande,94,15,3315,492
12050000,PSICOLOGIA,Campina Grande,291,31,6480,1486
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1323,36,5505,2859
21050000,CIÊNCIAS DA VIDA,Cajazeiras,315,49,6180,904
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,539,34,5790,1588
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,506,18,2955,1416
21030000,EDUCAÇÃO,Cajazeiras,801,31,4830,1860
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,274,29,3105,882
21070000,GEOGRAFIA,Cajazeiras,238,15,2640,800
21040000,LETRAS,Cajazeiras,682,22,4365,1529
19020000,QUÍMICA (PARFOR),Cajazeiras,5,6,330,27
31030000,CIÊNCIAS CONTÁBEIS,Sousa,379,27,3240,1669
31010000,DIREITO,Sousa,1005,59,8475,6306
41050000,CIÊNCIAS BIOLÓGICAS,Patos,317,26,3180,1299
41020000,ENGENHARIA FLORESTAL,Patos,180,29,3975,867
41010000,MEDICINA VETERINÁRIA,Patos,406,45,6975,2352
41060000,ODONTOLOGIA,Patos,392,40,4020,1972
51040000,BIOLOGIA E QUÍMICA,Cuité,896,36,6090,2393
51030000,ENFERMAGEM,Cuité,270,30,7275,1430
51010000,FÍSICA E MATEMÁTICA,Cuité,783,37,6165,1664
51020000,SAÚDE,Cuité,686,42,9345,3188
71050000,CIÊNCIAS SOCIAIS,Sumé,260,11,1740,643
71010000,EDUCAÇÃO DO CAMPO,Sumé,310,27,3345,673
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,263,12,2100,655
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,298,14,1920,783
71060000,GESTÃO PÚBLICA,Sumé,222,10,1260,661
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,462,27,3750,1433
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,814,77,13845,4682
