Dados do período 2018.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,626,28,5220,1550
13020000,ARTES,Campina Grande,285,25,4590,1277
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,59,11,1200,91
12020000,CIÊNCIAS MÉDICAS,Campina Grande,485,103,12975,2604
13050000,CIÊNCIAS SOCIAIS,Campina Grande,979,47,6165,1569
11120000,DESIGN,Campina Grande,173,17,2280,776
13030000,ECONOMIA E FINANCAS,Campina Grande,500,21,2970,815
13040000,EDUCAÇÃO,Campina Grande,588,31,5355,1537
12010000,ENFERMAGEM,Campina Grande,140,37,5460,866
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,127,28,2925,441
15030000,ENGENHARIA CIVIL,Campina Grande,961,44,6345,2795
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,108,12,1620,254
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,298,17,1890,447
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,138,9,1350,250
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,673,17,2550,829
14040000,ENGENHARIA ELÉTRICA,Campina Grande,756,52,7470,2694
11050000,ENGENHARIA MECÂNICA,Campina Grande,311,27,4680,1047
11070000,ENGENHARIA QUÍMICA,Campina Grande,661,32,4380,1378
11140000,ESTATÍSTICA,Campina Grande,800,15,2220,876
11080000,FÍSICA,Campina Grande,1288,33,5145,1855
13080000,GEOGRAFIA,Campina Grande,335,13,2790,992
13060000,HISTÓRIA,Campina Grande,341,21,3180,1014
19030000,HISTÓRIA (PARFOR),Campina Grande,13,1,60,13
13070000,LETRAS,Campina Grande,1058,59,9555,2152
11090000,MATEMÁTICA,Campina Grande,1898,34,5235,3192
19010000,MATEMÁTICA (PARFOR),Campina Grande,15,7,480,75
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,243,15,2340,467
13090000,MÚSICA,Campina Grande,87,15,3060,442
12050000,PSICOLOGIA,Campina Grande,282,26,7440,1633
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1269,39,6945,3365
21050000,CIÊNCIAS DA VIDA,Cajazeiras,320,52,8685,982
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,539,35,5640,1529
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,524,21,3090,1560
21030000,EDUCAÇÃO,Cajazeiras,849,34,4620,1845
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,245,30,3105,794
21070000,GEOGRAFIA,Cajazeiras,223,15,2715,753
21040000,LETRAS,Cajazeiras,643,24,4185,1431
19020000,QUÍMICA (PARFOR),Cajazeiras,5,3,285,20
31030000,CIÊNCIAS CONTÁBEIS,Sousa,423,28,3540,2059
31010000,DIREITO,Sousa,1038,58,8985,6402
41050000,CIÊNCIAS BIOLÓGICAS,Patos,340,27,3150,1322
41020000,ENGENHARIA FLORESTAL,Patos,194,29,3660,902
41010000,MEDICINA VETERINÁRIA,Patos,396,47,5925,2306
41060000,ODONTOLOGIA,Patos,388,37,4095,1977
51040000,BIOLOGIA E QUÍMICA,Cuité,1015,35,6240,2582
51030000,ENFERMAGEM,Cuité,237,25,6720,1170
51010000,FÍSICA E MATEMÁTICA,Cuité,875,39,6420,1845
51020000,SAÚDE,Cuité,748,43,9735,3769
71050000,CIÊNCIAS SOCIAIS,Sumé,308,12,1575,650
71010000,EDUCAÇÃO DO CAMPO,Sumé,348,21,3705,1023
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,255,12,2220,675
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,291,15,2040,860
71060000,GESTÃO PÚBLICA,Sumé,193,9,1260,632
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,432,32,4020,1255
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,928,74,15045,5335
