Dados do período 2015.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,844,24,4290,1801
13020000,ARTES,Campina Grande,357,22,4335,1453
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,67,12,1170,104
12020000,CIÊNCIAS MÉDICAS,Campina Grande,453,106,15075,2234
13050000,CIÊNCIAS SOCIAIS,Campina Grande,1179,49,6645,1794
11120000,DESIGN,Campina Grande,217,16,2760,976
13030000,ECONOMIA E FINANCAS,Campina Grande,666,22,3150,1128
13040000,EDUCAÇÃO,Campina Grande,700,32,5625,1653
12010000,ENFERMAGEM,Campina Grande,214,49,6810,1059
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,140,27,3000,532
15030000,ENGENHARIA CIVIL,Campina Grande,974,38,6180,2740
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,122,10,1800,322
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,281,16,1890,439
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,160,10,1350,301
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,805,17,2835,983
14040000,ENGENHARIA ELÉTRICA,Campina Grande,809,50,7170,2855
11050000,ENGENHARIA MECÂNICA,Campina Grande,405,25,4470,1132
11070000,ENGENHARIA QUÍMICA,Campina Grande,697,30,4080,1324
11140000,ESTATÍSTICA,Campina Grande,757,15,2130,834
11080000,FÍSICA,Campina Grande,1614,33,4995,2303
13080000,GEOGRAFIA,Campina Grande,381,15,2580,1164
13060000,HISTÓRIA,Campina Grande,391,21,2760,872
19030000,HISTÓRIA (PARFOR),Campina Grande,18,4,300,88
13070000,LETRAS,Campina Grande,1060,47,9990,2000
11090000,MATEMÁTICA,Campina Grande,2253,43,5670,3692
19010000,MATEMÁTICA (PARFOR),Campina Grande,9,5,300,44
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,309,15,2220,672
13090000,MÚSICA,Campina Grande,91,16,3240,437
12050000,PSICOLOGIA,Campina Grande,297,27,7230,1561
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1323,35,5430,2645
21050000,CIÊNCIAS DA VIDA,Cajazeiras,401,54,9165,1055
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,553,40,7395,1708
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,513,19,3150,1514
21030000,EDUCAÇÃO,Cajazeiras,857,38,5550,1995
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,282,28,2940,887
21070000,GEOGRAFIA,Cajazeiras,263,15,2670,822
21040000,LETRAS,Cajazeiras,677,25,4335,1595
19020000,QUÍMICA (PARFOR),Cajazeiras,7,5,330,42
31030000,CIÊNCIAS CONTÁBEIS,Sousa,393,29,3330,1715
31010000,DIREITO,Sousa,995,63,9030,4972
41050000,CIÊNCIAS BIOLÓGICAS,Patos,351,27,3090,1412
41020000,ENGENHARIA FLORESTAL,Patos,252,29,3720,986
41010000,MEDICINA VETERINÁRIA,Patos,395,46,6045,2320
41060000,ODONTOLOGIA,Patos,381,40,4170,1883
51040000,BIOLOGIA E QUÍMICA,Cuité,996,34,6270,2666
51030000,ENFERMAGEM,Cuité,312,25,4560,1276
51010000,FÍSICA E MATEMÁTICA,Cuité,821,43,6135,1691
51020000,SAÚDE,Cuité,773,44,8880,3350
71050000,CIÊNCIAS SOCIAIS,Sumé,310,15,2040,684
71010000,EDUCAÇÃO DO CAMPO,Sumé,335,26,3810,832
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,326,14,2010,767
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,303,14,1920,727
71060000,GESTÃO PÚBLICA,Sumé,212,11,1200,701
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,523,30,3750,1644
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,812,71,13005,4591
