Dados do período 2017.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,731,26,5460,1653
13020000,ARTES,Campina Grande,309,21,3840,1268
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,56,13,1260,102
12020000,CIÊNCIAS MÉDICAS,Campina Grande,466,108,15345,2458
13050000,CIÊNCIAS SOCIAIS,Campina Grande,1065,47,6195,1638
11120000,DESIGN,Campina Grande,183,19,2400,816
13030000,ECONOMIA E FINANCAS,Campina Grande,510,20,3030,802
13040000,EDUCAÇÃO,Campina Grande,591,34,5100,1402
12010000,ENFERMAGEM,Campina Grande,150,47,5490,791
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,117,28,2970,414
15030000,ENGENHARIA CIVIL,Campina Grande,994,41,5820,2946
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,116,12,1860,300
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,313,16,1860,448
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,148,10,1350,302
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,688,16,2550,796
14040000,ENGENHARIA ELÉTRICA,Campina Grande,838,53,7020,2912
11050000,ENGENHARIA MECÂNICA,Campina Grande,393,26,6240,1119
11070000,ENGENHARIA QUÍMICA,Campina Grande,675,29,4200,1410
11140000,ESTATÍSTICA,Campina Grande,805,16,2580,865
11080000,FÍSICA,Campina Grande,1517,33,5745,2163
13080000,GEOGRAFIA,Campina Grande,368,15,2520,964
13060000,HISTÓRIA,Campina Grande,359,21,3060,940
19030000,HISTÓRIA (PARFOR),Campina Grande,13,6,360,78
13070000,LETRAS,Campina Grande,1216,56,9720,2212
11090000,MATEMÁTICA,Campina Grande,2147,39,5625,3651
19010000,MATEMÁTICA (PARFOR),Campina Grande,15,9,660,90
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,267,19,2580,543
13090000,MÚSICA,Campina Grande,104,15,3405,524
12050000,PSICOLOGIA,Campina Grande,273,29,7500,1439
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1283,37,5610,2886
21050000,CIÊNCIAS DA VIDA,Cajazeiras,293,48,5610,885
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,556,34,6315,1577
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,498,19,2940,1368
21030000,EDUCAÇÃO,Cajazeiras,852,35,4575,1772
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,245,28,3000,768
21070000,GEOGRAFIA,Cajazeiras,238,15,2760,786
21040000,LETRAS,Cajazeiras,644,25,4185,1435
19020000,QUÍMICA (PARFOR),Cajazeiras,5,5,345,26
31030000,CIÊNCIAS CONTÁBEIS,Sousa,368,29,3330,1711
31010000,DIREITO,Sousa,1040,58,8580,6308
41050000,CIÊNCIAS BIOLÓGICAS,Patos,358,26,3210,1357
41020000,ENGENHARIA FLORESTAL,Patos,168,30,3675,844
41010000,MEDICINA VETERINÁRIA,Patos,408,49,5985,2395
41060000,ODONTOLOGIA,Patos,388,38,4140,1971
51040000,BIOLOGIA E QUÍMICA,Cuité,978,36,6135,2505
51030000,ENFERMAGEM,Cuité,267,26,7635,1330
51010000,FÍSICA E MATEMÁTICA,Cuité,863,32,6345,1899
51020000,SAÚDE,Cuité,706,42,8640,3385
71050000,CIÊNCIAS SOCIAIS,Sumé,266,12,1980,586
71010000,EDUCAÇÃO DO CAMPO,Sumé,306,27,3315,734
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,206,14,1950,584
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,279,14,2040,749
71060000,GESTÃO PÚBLICA,Sumé,185,10,1170,638
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,422,29,3960,1197
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,864,74,15150,4937
