Dados do período 2018.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,683,27,4950,1593
13020000,ARTES,Campina Grande,364,27,4830,1603
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,29,12,1110,50
12020000,CIÊNCIAS MÉDICAS,Campina Grande,497,102,12870,2656
13050000,CIÊNCIAS SOCIAIS,Campina Grande,883,46,6390,1550
11120000,DESIGN,Campina Grande,160,17,2340,739
13030000,ECONOMIA E FINANCAS,Campina Grande,521,19,3120,843
13040000,EDUCAÇÃO,Campina Grande,556,35,5220,1482
12010000,ENFERMAGEM,Campina Grande,147,40,5265,936
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,141,26,2700,392
15030000,ENGENHARIA CIVIL,Campina Grande,869,42,6135,2480
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,59,12,1650,169
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,207,16,1530,328
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,94,8,1110,147
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,634,17,2760,748
14040000,ENGENHARIA ELÉTRICA,Campina Grande,714,53,7860,2606
11050000,ENGENHARIA MECÂNICA,Campina Grande,354,28,4530,1085
11070000,ENGENHARIA QUÍMICA,Campina Grande,454,30,3960,994
11140000,ESTATÍSTICA,Campina Grande,746,14,2280,786
11080000,FÍSICA,Campina Grande,1232,33,5100,1844
13080000,GEOGRAFIA,Campina Grande,270,14,2775,898
13060000,HISTÓRIA,Campina Grande,342,21,2760,1019
19030000,HISTÓRIA (PARFOR),Campina Grande,13,3,390,52
13070000,LETRAS,Campina Grande,970,58,9225,2000
11090000,MATEMÁTICA,Campina Grande,1783,36,5040,2791
19010000,MATEMÁTICA (PARFOR),Campina Grande,15,7,360,65
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,149,14,2340,381
13090000,MÚSICA,Campina Grande,106,15,3855,518
12050000,PSICOLOGIA,Campina Grande,302,27,7500,1769
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1366,38,7185,3538
21050000,CIÊNCIAS DA VIDA,Cajazeiras,325,45,7455,928
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,484,36,5970,1521
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,476,16,3120,1460
21030000,EDUCAÇÃO,Cajazeiras,730,32,4470,1787
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21060000,ENFERMAGEM,Cajazeiras,213,32,2985,755
21070000,GEOGRAFIA,Cajazeiras,272,16,2475,810
21040000,LETRAS,Cajazeiras,614,22,4110,1529
19020000,QUÍMICA (PARFOR),Cajazeiras,5,5,315,25
31030000,CIÊNCIAS CONTÁBEIS,Sousa,364,25,3210,1779
31010000,DIREITO,Sousa,958,60,8670,5770
41050000,CIÊNCIAS BIOLÓGICAS,Patos,307,26,3210,1255
41020000,ENGENHARIA FLORESTAL,Patos,139,27,3615,694
41010000,MEDICINA VETERINÁRIA,Patos,418,48,5655,2402
41060000,ODONTOLOGIA,Patos,390,36,4050,2090
51040000,BIOLOGIA E QUÍMICA,Cuité,888,36,6000,2126
51030000,ENFERMAGEM,Cuité,253,28,6135,1201
51010000,FÍSICA E MATEMÁTICA,Cuité,735,36,6255,1567
51020000,SAÚDE,Cuité,770,41,9765,3924
71050000,CIÊNCIAS SOCIAIS,Sumé,171,11,1710,461
71010000,EDUCAÇÃO DO CAMPO,Sumé,318,26,3720,732
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,177,14,1920,421
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,256,12,1470,579
71060000,GESTÃO PÚBLICA,Sumé,121,7,1020,427
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,377,33,4320,1340
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,940,78,14850,5180
