Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2021.1,,,2021.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,84,841,10%,134,844,16%
13301200 - ADMINISTRAÇÃO - N,42,316,13%,139,433,32%
31301200 - ADMINISTRAÇÃO - N,93,712,13%,43,658,7%
91402100 - AGRONOMIA - D,90,1105,8%,198,1078,18%
15101100 - ARQUITETURA E URBANISMO - D,32,650,5%,46,828,6%
13317100 - ARTE E MÍDIA - D,51,307,17%,52,451,12%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,144,2886,5%,203,2768,7%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,40,633,6%,20,480,4%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,53,452,12%,10,381,3%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,41,555,7%,47,468,10%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,41,458,9%,56,571,10%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,85,459,19%,12,333,4%
31360200 - CIÊNCIAS CONTÁBEIS - N,128,859,15%,68,724,9%
13304100 - CIÊNCIAS ECONÔMICAS - M,78,427,18%,31,318,10%
13304200 - CIÊNCIAS ECONÔMICAS - N,27,241,11%,134,388,35%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,26,198,13%,11,169,7%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,36,245,15%,66,339,19%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,115,441,26%,46,349,13%
13306100 - COMUNICAÇÃO SOCIAL - D,26,291,9%,98,390,25%
13306200 - COMUNICAÇÃO SOCIAL - N,37,264,14%,86,365,24%
