"Quantidade de alunos ativos em 2017, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
11124100,13442,ENGENHARIA MECÂNICA - D,403
11128100,13441,ENGENHARIA QUÍMICA - D,268
11134100,1120733,ESTATÍSTICA - D,55
51203100,107495,FARMÁCIA - D,381
13314250,121366,FILOSOFIA (BAC) - N,45
13314210,121367,FILOSOFIA (LIC) - N,61
11105150,318388,FÍSICA (BAC) - D,41
11105110,1204358,FÍSICA (LIC) - D,48
51105110,99810,FÍSICA (LIC) - D,70
21105210,1152879,FÍSICA (LIC) - N,105
51105210,99810,FÍSICA (LIC) - N,88
13316110,120777,GEOGRAFIA (LIC) - M,126
13316210,120777,GEOGRAFIA (LIC) - N,158
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,171
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,140
13309110,13449,HISTÓRIA (LIC) - D,137
21309110,13405,HISTÓRIA (LIC) - M,173
19309110,13449,HISTÓRIA (LIC) - M (PARFOR),15
13309210,13449,HISTÓRIA (LIC) - N,175
21309210,13405,HISTÓRIA (LIC) - N,223
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,102
13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,70
13323110,1364560,LETRAS - LIBRAS (LIC) - D,16
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,46
13310113,1158907,LETRAS - LÍNGUA E LIT. INGLESA - D,1
13310211,1158116,LETRAS - LÍNGUA E LIT. PORTUGUESA - N,4
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,73
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,94
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,87
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,113
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,160
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,101
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,43
11107150,313448,MATEMÁTICA (BAC) - D,29
11107110,13448,MATEMÁTICA (LIC) - D,67
21107110,1152880,MATEMÁTICA (LIC) - D,133
51107110,99806,MATEMÁTICA (LIC) - D,63
19107110,13448,MATEMÁTICA (LIC) - D (PARFOR),18
11107210,13448,MATEMÁTICA (LIC) - N,88
51107210,99806,MATEMÁTICA (LIC) - N,90
12205100,13453,MEDICINA,527
21205100,1101742,MEDICINA,133
41410100,13437,MEDICINA VETERINÁRIA - D,478
15108100,13435,METEOROLOGIA - D,77
13311150,118632,MÚSICA (BAC) - D,33
13311110,118630,MÚSICA (LIC) - D,105
51206100,118910,NUTRIÇÃO - D,324
51206200,118910,NUTRIÇÃO - N,7
41207100,122676,ODONTOLOGIA - D,424
13312110,13452,PEDAGOGIA (LIC) - M,118
13312210,13452,PEDAGOGIA (LIC) - N,112
21312110,13410,PEDAGOGIA (LICENCIATURA) - M,180
21312210,13410,PEDAGOGIA (LICENCIATURA) - N,211
12208100,1108087,PSICOLOGIA - D,114
12208200,1108087,PSICOLOGIA - N,235
51109110,99808,QUÍMICA (LIC) - D,105
21109210,1152881,QUÍMICA (LIC) - N,145
51109210,99808,QUÍMICA (LIC) - N,102
19109210,1152881,QUÍMICA (LIC) - N (PARFOR),5
31340100,1117877,SERVIÇO SOCIAL - M,172
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,105
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA - N,158
