"Quantidade de alunos ativos em 2016, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,292
13301200,13434,ADMINISTRAÇÃO - N,181
31301200,118546,ADMINISTRAÇÃO - N,243
91402100,99800,AGRONOMIA - D,309
15101100,1129147,ARQUITETURA E URBANISMO - D,229
13317100,21164,ARTE E MÍDIA - D,166
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,743
21103114,13432,CIÊNCIAS - FÍSICA (LIC) - M,1
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,142
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,134
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,150
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,203
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,159
31360200,79567,CIÊNCIAS CONTÁBEIS - N,255
13304100,13451,CIÊNCIAS ECONÔMICAS - M,136
13304200,13451,CIÊNCIAS ECONÔMICAS - N,165
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,63
13305250,313436,CIÊNCIAS SOCIAIS (BAC) - N,2
13305110,13436,CIÊNCIAS SOCIAIS (LIC) - D,2
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,133
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,147
13306100,1149786,COMUNICAÇÃO SOCIAL - D,140
13306200,1149786,COMUNICAÇÃO SOCIAL - N,148
11104120,13447,DESIGN - D,255
31350100,13433,DIREITO - M,285
31350200,13433,DIREITO - N,339
31350300,13433,DIREITO - V,279
12204100,1134328,ENFERMAGEM - D,203
21204100,79572,ENFERMAGEM - D,266
51204100,107492,ENFERMAGEM - D,314
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,138
15121100,13440,ENGENHARIA AGRÍCOLA - D,150
91130100,112282,ENGENHARIA AMBIENTAL - D,313
15122100,13439,ENGENHARIA CIVIL - D,625
91122100,1280408,ENGENHARIA CIVIL - D,196
15125100,118550,ENGENHARIA DE ALIMENTOS - D,154
91125100,112294,ENGENHARIA DE ALIMENTOS - D,253
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,136
11126100,13445,ENGENHARIA DE MATERIAIS - D,228
15127100,13444,ENGENHARIA DE MINAS - D,205
11135100,118562,ENGENHARIA DE PETRÓLEO - D,206
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,212
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,200
14123100,13438,ENGENHARIA ELÉTRICA,1084
41403100,13456,ENGENHARIA FLORESTAL - D,127
11124100,13442,ENGENHARIA MECÂNICA - D,416
11128100,13441,ENGENHARIA QUÍMICA - D,259
11134100,1120733,ESTATÍSTICA - D,53
51203100,107495,FARMÁCIA - D,366
13314250,121366,FILOSOFIA (BAC) - N,44
13314210,121367,FILOSOFIA (LIC) - N,61
11105150,318388,FÍSICA (BAC) - D,39
11105110,1204358,FÍSICA (LIC) - D,38
51105110,99810,FÍSICA (LIC) - D,61
21105210,1152879,FÍSICA (LIC) - N,93
51105210,99810,FÍSICA (LIC) - N,71
13316110,120777,GEOGRAFIA (LIC) - M,127
13316210,120777,GEOGRAFIA (LIC) - N,153
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,174
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,136
13309250,313449,HISTÓRIA (BAC) - N,3
13309110,13449,HISTÓRIA (LIC) - D,142
21309110,13405,HISTÓRIA (LIC) - M,182
19309110,13449,HISTÓRIA (LIC) - M (PARFOR),16
13309210,13449,HISTÓRIA (LIC) - N,182
21309210,13405,HISTÓRIA (LIC) - N,218
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,103
13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,73
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,35
13310112,1158117,LETRAS - LÍNGUA E LIT. FRANCESA - D,2
13310113,1158907,LETRAS - LÍNGUA E LIT. INGLESA - D,1
13310213,1158907,LETRAS - LÍNGUA E LIT. INGLESA - N,1
13310111,1158116,LETRAS - LÍNGUA E LIT. PORTUGUESA - D,1
13310211,1158116,LETRAS - LÍNGUA E LIT. PORTUGUESA - N,16
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,72
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,92
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,90
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,111
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,150
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,95
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,43
11107150,313448,MATEMÁTICA (BAC) - D,27
11107110,13448,MATEMÁTICA (LIC) - D,58
21107110,1152880,MATEMÁTICA (LIC) - D,124
51107110,99806,MATEMÁTICA (LIC) - D,55
19107110,13448,MATEMÁTICA (LIC) - D (PARFOR),27
11107210,13448,MATEMÁTICA (LIC) - N,85
51107210,99806,MATEMÁTICA (LIC) - N,90
12205100,13453,MEDICINA,525
21205100,1101742,MEDICINA,148
41410100,13437,MEDICINA VETERINÁRIA - D,480
15108100,13435,METEOROLOGIA - D,74
13311150,118632,MÚSICA (BAC) - D,32
13311110,118630,MÚSICA (LIC) - D,104
51206100,118910,NUTRIÇÃO - D,326
51206200,118910,NUTRIÇÃO - N,14
41207100,122676,ODONTOLOGIA - D,421
13312110,13452,PEDAGOGIA (LIC) - M,119
