"Quantidade de alunos ativos em 2022, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,334
13301200,13434,ADMINISTRAÇÃO - N,197
31301200,118546,ADMINISTRAÇÃO - N,216
91402100,99800,AGRONOMIA - D,294
15101100,1129147,ARQUITETURA E URBANISMO - D,230
13317100,21164,ARTE E MÍDIA - D,157
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,966
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,125
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,120
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,146
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,190
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,152
31360200,79567,CIÊNCIAS CONTÁBEIS - N,250
13304100,13451,CIÊNCIAS ECONÔMICAS - M,155
13304200,13451,CIÊNCIAS ECONÔMICAS - N,158
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,90
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,155
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,154
13306100,1149786,COMUNICAÇÃO SOCIAL - D,138
13306200,1149786,COMUNICAÇÃO SOCIAL - N,160
11104120,13447,DESIGN - D,249
31350100,13433,DIREITO - M,301
31350200,13433,DIREITO - N,329
31350300,13433,DIREITO - V,287
12204100,1134328,ENFERMAGEM - D,257
21204100,79572,ENFERMAGEM - D,290
51204100,107492,ENFERMAGEM - D,286
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,96
15121100,13440,ENGENHARIA AGRÍCOLA - D,148
91130100,112282,ENGENHARIA AMBIENTAL - D,135
15122100,13439,ENGENHARIA CIVIL - D,570
91122100,1280408,ENGENHARIA CIVIL - D,380
15125100,118550,ENGENHARIA DE ALIMENTOS - D,130
91125100,112294,ENGENHARIA DE ALIMENTOS - D,192
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,80
11126100,13445,ENGENHARIA DE MATERIAIS - D,187
15127100,13444,ENGENHARIA DE MINAS - D,116
11135100,118562,ENGENHARIA DE PETRÓLEO - D,139
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,171
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,139
14123100,13438,ENGENHARIA ELÉTRICA,984
41403100,13456,ENGENHARIA FLORESTAL - D,94
11124100,13442,ENGENHARIA MECÂNICA - D,340
11128100,13441,ENGENHARIA QUÍMICA - D,208
11134100,1120733,ESTATÍSTICA - D,67
51203100,107495,FARMÁCIA - D,427
13314250,121366,FILOSOFIA (BAC) - N,50
13314210,121367,FILOSOFIA (LIC) - N,70
11105150,318388,FÍSICA (BAC) - D,46
11105110,1204358,FÍSICA (LIC) - D,56
51105110,99810,FÍSICA (LIC) - D,90
21105210,1152879,FÍSICA (LIC) - N,135
51105210,99810,FÍSICA (LIC) - N,115
13316110,120777,GEOGRAFIA (LIC) - M,123
13316210,120777,GEOGRAFIA (LIC) - N,135
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,177
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,168
13309110,13449,HISTÓRIA (LIC) - D,155
21309110,13405,HISTÓRIA (LIC) - M,190
13309210,13449,HISTÓRIA (LIC) - N,168
21309210,13405,HISTÓRIA (LIC) - N,242
