Quantidade de alunos matriculados em 2023.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),126,90,216
13301200 - ADMINISTRAÇÃO - N (Campina Grande),65,48,113
31301200 - ADMINISTRAÇÃO - N (Sousa),88,87,175
91402100 - AGRONOMIA - D (Pombal),76,110,186
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),111,50,161
13317100 - ARTE E MÍDIA - D (Campina Grande),56,55,111
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),152,608,760
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),83,33,116
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),62,43,105
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),88,46,134
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),82,48,130
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),81,50,131
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),93,107,200
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),43,82,125
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),39,45,84
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),42,23,65
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),47,40,87
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),76,38,114
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),51,20,71
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),44,40,84
11104120 - DESIGN - D (Campina Grande),122,70,192
31350100 - DIREITO - M (Sousa),164,106,270
31350200 - DIREITO - N (Sousa),150,152,302
31350300 - DIREITO - V (Sousa),158,94,252
12204100 - ENFERMAGEM - D (Campina Grande),162,46,208
21204100 - ENFERMAGEM - D (Cajazeiras),205,56,261
51204100 - ENFERMAGEM - D (Cuité),191,45,236
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),38,18,56
