Quantidade de alunos matriculados em 2021.0 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
91402100 - AGRONOMIA - D (Pombal),5,5,10
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),25,11,36
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),28,13,41
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),6,4,10
21204100 - ENFERMAGEM - D (Cajazeiras),26,10,36
51204100 - ENFERMAGEM - D (Cuité),16,4,20
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),1,10,11
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),3,0,3
15122100 - ENGENHARIA CIVIL - D (Campina Grande),10,18,28
91122100 - ENGENHARIA CIVIL - D (Pombal),11,14,25
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),1,0,1
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),15,5,20
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),1,2,3
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),1,0,1
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),2,5,7
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),7,5,12
13314210 - FILOSOFIA (LIC) - N (Campina Grande),0,1,1
11105110 - FÍSICA (LIC) - D (Campina Grande),2,1,3
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),2,3,5
13309110 - HISTÓRIA (LIC) - D (Campina Grande),2,1,3
13309210 - HISTÓRIA (LIC) - N (Campina Grande),0,1,1
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),9,6,15
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),0,1,1
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),12,4,16
21205100 - MEDICINA (Cajazeiras),5,7,12
41207100 - ODONTOLOGIA - D (Patos),15,13,28
Total,205,144,349
