Quantidade de alunos matriculados em 2021.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),117,95,212
13301200 - ADMINISTRAÇÃO - N (Campina Grande),70,56,126
31301200 - ADMINISTRAÇÃO - N (Sousa),71,76,147
91402100 - AGRONOMIA - D (Pombal),99,138,237
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),112,58,170
13317100 - ARTE E MÍDIA - D (Campina Grande),57,49,106
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),128,587,715
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),64,31,95
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),50,26,76
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),67,43,110
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),90,48,138
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),53,36,89
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),77,96,173
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),27,59,86
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),37,60,97
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),28,17,45
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),54,35,89
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),60,29,89
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),57,33,90
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),48,47,95
11104120 - DESIGN - D (Campina Grande),105,66,171
31350100 - DIREITO - M (Sousa),143,88,231
31350200 - DIREITO - N (Sousa),121,140,261
31350300 - DIREITO - V (Sousa),124,98,222
12204100 - ENFERMAGEM - D (Campina Grande),143,43,186
21204100 - ENFERMAGEM - D (Cajazeiras),186,56,242
51204100 - ENFERMAGEM - D (Cuité),189,51,240
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),44,23,67
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),38,61,99
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),64,51,115
15122100 - ENGENHARIA CIVIL - D (Campina Grande),168,255,423
91122100 - ENGENHARIA CIVIL - D (Pombal),93,211,304
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),43,32,75
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),111,45,156
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),32,32,64
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),40,57,97
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),30,40,70
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),50,43,93
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),52,80,132
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),52,56,108
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),148,572,720
41403100 - ENGENHARIA FLORESTAL - D (Patos),38,42,80
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),57,198,255
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),76,59,135
11134100 - ESTATÍSTICA - D (Campina Grande),14,26,40
51203100 - FARMÁCIA - D (Cuité),233,125,358
13314250 - FILOSOFIA (BAC) - N (Campina Grande),6,13,19
13314210 - FILOSOFIA (LIC) - N (Campina Grande),15,23,38
11105150 - FÍSICA (BAC) - D (Campina Grande),6,22,28
11105110 - FÍSICA (LIC) - D (Campina Grande),13,25,38
51105110 - FÍSICA (LIC) - D (Cuité),26,41,67
21105210 - FÍSICA (LIC) - N (Cajazeiras),32,47,79
51105210 - FÍSICA (LIC) - N (Cuité),30,44,74
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),31,51,82
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),25,52,77
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),74,58,132
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),56,62,118
13309110 - HISTÓRIA (LIC) - D (Campina Grande),47,50,97
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),60,58,118
13309210 - HISTÓRIA (LIC) - N (Campina Grande),56,55,111
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),99,71,170
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),65,28,93
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),31,14,45
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),46,27,73
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),27,9,36
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),38,17,55
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),34,28,62
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),43,26,69
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),58,25,83
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),98,38,136
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),76,23,99
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),7,6,13
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),17,25,42
