Quantidade de alunos matriculados em 2024.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),109,5,114
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),79,4,83
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),162,26,188
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),140,31,171
12208100 - PSICOLOGIA - D (Campina Grande),276,91,367
12208200 - PSICOLOGIA - N (Campina Grande),0,1,1
51109110 - QUÍMICA (LIC) - D (Cuité),40,21,61
21109210 - QUÍMICA (LIC) - N (Cajazeiras),70,56,126
51109210 - QUÍMICA (LIC) - N (Cuité),56,26,82
31340100 - SERVIÇO SOCIAL - M (Sousa),99,23,122
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),28,7,35
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),65,32,97
Total,7478,6524,14002
