Quantidade de alunos matriculados em 2022.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),127,103,230
13301200 - ADMINISTRAÇÃO - N (Campina Grande),57,47,104
31301200 - ADMINISTRAÇÃO - N (Sousa),92,101,193
91402100 - AGRONOMIA - D (Pombal),93,127,220
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),109,54,163
13317100 - ARTE E MÍDIA - D (Campina Grande),47,47,94
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),149,636,785
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),82,39,121
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),70,35,105
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),71,49,120
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),86,46,132
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),82,52,134
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),98,120,218
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),43,93,136
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),37,61,98
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),48,20,68
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),53,35,88
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),95,39,134
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),48,28,76
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),47,43,90
11104120 - DESIGN - D (Campina Grande),103,68,171
31350100 - DIREITO - M (Sousa),163,109,272
31350200 - DIREITO - N (Sousa),128,154,282
31350300 - DIREITO - V (Sousa),143,106,249
12204100 - ENFERMAGEM - D (Campina Grande),154,47,201
21204100 - ENFERMAGEM - D (Cajazeiras),195,56,251
51204100 - ENFERMAGEM - D (Cuité),189,51,240
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),51,26,77
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),52,72,124
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),52,48,100
15122100 - ENGENHARIA CIVIL - D (Campina Grande),176,284,460
91122100 - ENGENHARIA CIVIL - D (Pombal),87,217,304
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),72,41,113
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),71,38,109
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),31,31,62
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),69,77,146
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),41,60,101
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),53,66,119
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),59,90,149
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),60,65,125
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),152,614,766
41403100 - ENGENHARIA FLORESTAL - D (Patos),35,44,79
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),61,205,266
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),104,81,185
11134100 - ESTATÍSTICA - D (Campina Grande),19,34,53
51203100 - FARMÁCIA - D (Cuité),236,125,361
13314250 - FILOSOFIA (BAC) - N (Campina Grande),12,29,41
13314210 - FILOSOFIA (LIC) - N (Campina Grande),15,44,59
11105150 - FÍSICA (BAC) - D (Campina Grande),13,29,42
11105110 - FÍSICA (LIC) - D (Campina Grande),18,30,48
51105110 - FÍSICA (LIC) - D (Cuité),34,47,81
21105210 - FÍSICA (LIC) - N (Cajazeiras),49,67,116
51105210 - FÍSICA (LIC) - N (Cuité),40,67,107
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),42,66,108
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),40,76,116
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),61,50,111
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),82,77,159
13309110 - HISTÓRIA (LIC) - D (Campina Grande),66,70,136
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),90,81,171
13309210 - HISTÓRIA (LIC) - N (Campina Grande),46,45,91
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),88,71,159
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),68,37,105
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),36,14,50
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),48,30,78
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),41,17,58
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),45,29,74
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),50,37,87
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),57,31,88
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),45,19,64
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),92,31,123
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),94,28,122
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D (Campina ,2,0,2
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,15,23
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),23,34,57
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),39,62,101
51107110 - MATEMÁTICA (LIC) - D (Cuité),42,41,83
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),27,42,69
51107210 - MATEMÁTICA (LIC) - N (Cuité),42,51,93
12205100 - MEDICINA (Campina Grande),237,296,533
21205100 - MEDICINA (Cajazeiras),90,97,187
41410100 - MEDICINA VETERINÁRIA - D (Patos),260,175,435
15108100 - METEOROLOGIA - D (Campina Grande),26,22,48
13311150 - MÚSICA (BAC) - D (Campina Grande),4,19,23
13311110 - MÚSICA (LIC) - D (Campina Grande),14,25,39
51206100 - NUTRIÇÃO - D (Cuité),236,67,303
,FEMININO,MASCULINO,Total
41207100 - ODONTOLOGIA - D (Patos),228,169,397
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),108,4,112
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),77,5,82
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),136,21,157
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),132,27,159
12208100 - PSICOLOGIA - D (Campina Grande),264,96,360
12208200 - PSICOLOGIA - N (Campina Grande),7,6,13
51109110 - QUÍMICA (LIC) - D (Cuité),53,19,72
21109210 - QUÍMICA (LIC) - N (Cajazeiras),69,55,124
51109210 - QUÍMICA (LIC) - N (Cuité),60,32,92
31340100 - SERVIÇO SOCIAL - M (Sousa),117,16,133
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),40,27,67
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),64,43,107
Total,7767,7172,14939
