Quantidade de alunos matriculados em 2020.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),113,88,201
13301200 - ADMINISTRAÇÃO - N (Campina Grande),51,51,102
31301200 - ADMINISTRAÇÃO - N (Sousa),69,84,153
91402100 - AGRONOMIA - D (Pombal),88,131,219
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),112,63,175
13317100 - ARTE E MÍDIA - D (Campina Grande),46,40,86
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),107,558,665
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),69,37,106
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),48,30,78
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),69,31,100
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),103,44,147
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),58,45,103
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),78,99,177
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),21,58,79
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),31,54,85
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),26,11,37
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),53,29,82
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),83,34,117
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),64,28,92
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),47,43,90
11104120 - DESIGN - D (Campina Grande),95,58,153
31350100 - DIREITO - M (Sousa),146,95,241
31350200 - DIREITO - N (Sousa),118,147,265
31350300 - DIREITO - V (Sousa),140,114,254
12204100 - ENFERMAGEM - D (Campina Grande),140,32,172
21204100 - ENFERMAGEM - D (Cajazeiras),159,51,210
51204100 - ENFERMAGEM - D (Cuité),181,48,229
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),51,32,83
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),26,53,79
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),74,67,141
15122100 - ENGENHARIA CIVIL - D (Campina Grande),137,279,416
91122100 - ENGENHARIA CIVIL - D (Pombal),99,227,326
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),53,34,87
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),101,44,145
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),35,36,71
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),47,56,103
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),33,45,78
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),51,50,101
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),50,70,120
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),57,61,118
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),157,551,708
41403100 - ENGENHARIA FLORESTAL - D (Patos),38,48,86
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),45,191,236
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),92,62,154
11134100 - ESTATÍSTICA - D (Campina Grande),14,21,35
51203100 - FARMÁCIA - D (Cuité),234,124,358
13314250 - FILOSOFIA (BAC) - N (Campina Grande),4,14,18
13314210 - FILOSOFIA (LIC) - N (Campina Grande),8,22,30
11105150 - FÍSICA (BAC) - D (Campina Grande),3,16,19
11105110 - FÍSICA (LIC) - D (Campina Grande),11,29,40
51105110 - FÍSICA (LIC) - D (Cuité),23,28,51
21105210 - FÍSICA (LIC) - N (Cajazeiras),29,55,84
51105210 - FÍSICA (LIC) - N (Cuité),19,38,57
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),31,53,84
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),26,61,87
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),68,41,109
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),54,52,106
