Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,296,BAC,D
13301200,13434,ADMINISTRAÇÃO,165,BAC,N
31301200,118546,ADMINISTRAÇÃO,235,BAC,N
91402100,99800,AGRONOMIA,309,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,224,BAC,D
13317100,21164,ARTE MÍDIA,161,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,765,BAC,D
21103114,13432,CIÊNCIAS FÍSICA,1,LIC,M
41201110,99802,CIÊNCIAS BIOLÓGICAS,140,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,128,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,155,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,197,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,157,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,251,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,137,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,150,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,65,BAC,D
13305250,313436,CIÊNCIAS SOCIAIS,1,BAC,N
13305110,13436,CIÊNCIAS SOCIAIS,1,LIC,D
13305210,13436,CIÊNCIAS SOCIAIS,131,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,138,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,138,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,141,BAC,N
11104120,13447,DESIGN,250,BAC,D
31350100,13433,DIREITO,293,BAC,M
31350200,13433,DIREITO,355,BAC,N
31350300,13433,DIREITO,292,BAC,V
12204100,1134328,ENFERMAGEM,191,BAC,D
21204100,79572,ENFERMAGEM,253,BAC,D
51204100,107492,ENFERMAGEM,287,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,134,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,143,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,304,BAC,D
15122100,13439,ENGENHARIA CIVIL,619,BAC,D
91122100,1280408,ENGENHARIA CIVIL,270,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,139,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,232,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,129,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,214,BAC,D
15127100,13444,ENGENHARIA DE MINAS,194,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,183,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,200,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,197,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,1072,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,128,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,403,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,268,BAC,D
11134100,1120733,ESTATÍSTICA,55,BAC,D
51203100,107495,FARMÁCIA,381,BAC,D
13314250,121366,FILOSOFIA,45,BAC,N
13314210,121367,FILOSOFIA,61,LIC,N
11105150,318388,FÍSICA,41,BAC,D
11105110,1204358,FÍSICA,48,LIC,D
51105110,99810,FÍSICA,70,LIC,D
21105210,1152879,FÍSICA,105,LIC,N
51105210,99810,FÍSICA,88,LIC,N
13316110,120777,GEOGRAFIA,126,LIC,M
13316210,120777,GEOGRAFIA,158,LIC,N
21316110,13407,GEOGRAFIA,171,LIC,M
21316210,13407,GEOGRAFIA,140,LIC,N
13309110,13449,HISTÓRIA,137,LIC,D
21309110,13405,HISTÓRIA,173,LIC,M
19309110,13449,HISTÓRIA,15,LIC,M
13309210,13449,HISTÓRIA,175,LIC,N
21309210,13405,HISTÓRIA,223,LIC,N
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPOD,102,LIC,D
13310214,43962,LETRAS ESPANHOL,70,LIC,N
13323110,1364560,LETRAS LIBRAS,16,LIC,D
13310115,1158117,LETRAS LÍNG.PORT./LÍNG.FRANC. D,46,LIC,D
13310113,1158907,LETRAS LÍNGUA LIT. INGLESA,1,BAC,D
13310211,1158116,LETRAS LÍNGUA LIT. PORTUGUESA,4,BAC,N
13310116,1158907,LETRAS LÍNGUA INGLESA,73,LIC,D
21310116,1162185,LETRAS LÍNGUA INGLESA,94,LIC,D
21310110,1160083,LETRAS LÍNGUA PORTUGUESA,87,LIC,M
13310210,1158116,LETRAS LÍNGUA PORTUGUESA,113,LIC,N
21310210,1160083,LETRAS LÍNGUA PORTUGUESA,160,LIC,N
13310110,1158116,LETRAS LÍNGUA PORTUGUESA,101,LIC,D
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA,43,BAC,D
11107150,313448,MATEMÁTICA,29,BAC,D
11107110,13448,MATEMÁTICA,67,LIC,D
21107110,1152880,MATEMÁTICA,133,LIC,D
51107110,99806,MATEMÁTICA,63,LIC,D
19107110,13448,MATEMÁTICA,18,LIC,D
11107210,13448,MATEMÁTICA,88,LIC,N
51107210,99806,MATEMÁTICA,90,LIC,N
12205100,13453,MEDICINA,527,BAC,D
21205100,1101742,MEDICINA,133,BAC,D
41410100,13437,MEDICINA VETERINÁRIA,478,BAC,D
15108100,13435,METEOROLOGIA,77,BAC,D
13311150,118632,MÚSICA,33,BAC,D
13311110,118630,MÚSICA,105,LIC,D
51206100,118910,NUTRIÇÃO,324,BAC,D
51206200,118910,NUTRIÇÃO,7,BAC,N
41207100,122676,ODONTOLOGIA,424,BAC,D
