Quantidade de graduados de 2016 por curso e período,,,
Curso \ Período,2016.1,2016.2,Total curso
11104120 - DESIGN - D,24,12,36
11105110 - FÍSICA (LIC) - D,0,1,1
11105150 - FÍSICA (BAC) - D,1,0,1
11107110 - MATEMÁTICA (LIC) - D,4,1,5
11107150 - MATEMÁTICA (BAC) - D,1,0,1
11107210 - MATEMÁTICA (LIC) - N,2,1,3
11124100 - ENGENHARIA MECÂNICA - D,9,41,50
11126100 - ENGENHARIA DE MATERIAIS - D,19,10,29
11128100 - ENGENHARIA QUÍMICA - D,3,22,25
11133100 - ENGENHARIA DE PRODUÇÃO - D,11,17,28
11134100 - ESTATÍSTICA - D,2,3,5
11135100 - ENGENHARIA DE PETRÓLEO - D,7,24,31
12204100 - ENFERMAGEM - D,22,18,40
12205100 - MEDICINA,41,33,74
12208200 - PSICOLOGIA - N,21,22,43
13301100 - ADMINISTRAÇÃO - D,24,13,37
13301200 - ADMINISTRAÇÃO - N,13,8,21
13304100 - CIÊNCIAS ECONÔMICAS - M,7,8,15
13304200 - CIÊNCIAS ECONÔMICAS - N,5,6,11
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,1,0,1
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,2,2,4
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,3,5,8
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,0,1
13306100 - COMUNICAÇÃO SOCIAL - D,5,11,16
13306200 - COMUNICAÇÃO SOCIAL - N,17,4,21
13309110 - HISTÓRIA (LIC) - D,9,13,22
13309210 - HISTÓRIA (LIC) - N,3,5,8
13309250 - HISTÓRIA (BAC) - N,1,2,3
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,10,7,17
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,0,1,1
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,2,2
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,2,2,4
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,6,1,7
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,6,0,6
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,5,7,12
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,0,1
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,5,0,5
13311110 - MÚSICA (LIC) - D,5,2,7
13311150 - MÚSICA (BAC) - D,1,1,2
13312110 - PEDAGOGIA (LIC) - M,5,16,21
13312210 - PEDAGOGIA (LIC) - N,8,1,9
13314210 - FILOSOFIA (LIC) - N,0,1,1
13314250 - FILOSOFIA (BAC) - N,0,1,1
13316110 - GEOGRAFIA (LIC) - M,5,12,17
