Quantidade de graduados de 2003 por curso e período,,,
Curso \ Período,2003.1,2003.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,8,8,16
11105150 - FÍSICA (BAC) - D,0,1,1
11107110 - MATEMÁTICA (LIC) - D,8,6,14
11107150 - MATEMÁTICA (BAC) - D,1,1,2
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES),1,1,2
11124100 - ENGENHARIA MECÂNICA - D,12,12,24
11126100 - ENGENHARIA DE MATERIAIS - D,9,11,20
11128100 - ENGENHARIA QUÍMICA - D,7,6,13
12205100 - MEDICINA,35,34,69
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,1,3,4
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,19,27,46
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,1,0,1
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,1,4,5
13304100 - CIÊNCIAS ECONÔMICAS - M,17,6,23
13304200 - CIÊNCIAS ECONÔMICAS - N,0,2,2
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,13,7,20
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,0,2,2
13309110 - HISTÓRIA (LIC) - D,12,12,24
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,16,7,23
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,7,8
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,2,0,2
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,27,12,39
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,0,2,2
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,0,4,4
13317100 - ARTE E MÍDIA - D,8,0,8
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,9,17,26
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,2,4,6
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,2,3,5
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,8,4,12
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,3,5,8
15108100 - METEOROLOGIA - D,5,4,9
15121100 - ENGENHARIA AGRÍCOLA - D,4,5,9
15122100 - ENGENHARIA CIVIL - D,32,22,54
15127100 - ENGENHARIA DE MINAS - D,1,6,7
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,4,5,9
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,5,2,7
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,3,2,5
21309110 - HISTÓRIA (LIC) - M,0,1,1
21309210 - HISTÓRIA (LIC) - N,25,22,47
21310100 - LETRAS - M,1,0,1
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,12,20,32
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,10,20,30
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,68,2,70
21316110 - GEOGRAFIA (LICENCIATURA) - M,4,20,24
21316210 - GEOGRAFIA (LICENCIATURA) - N,3,49,52
31350100 - DIREITO - M,38,42,80
31350200 - DIREITO - N,24,12,36
41403100 - ENGENHARIA FLORESTAL - D,3,9,12
41410100 - MEDICINA VETERINÁRIA - D,35,38,73
Total período,500,489,989
